,Term,ID,Definition,Synonyms,HPO_ID
2133,Thoracic scoliosis,0002943,,,HP:0002943
2134,Thoracolumbar scoliosis,0002944,,"Scoliosis, thoracolumbar",HP:0002944
2135,Intervertebral space narrowing,0002945,Decreased height of the intervertebral disk.,"Narrow intervertebral disc spaces, Narrow intervertebral spaces",HP:0002945
2136,Supernumerary vertebrae,0002946,,,HP:0002946
2137,Cervical kyphosis,0002947,"Exaggerated convexity of the cervical vertebral column, causing the cervical spine to bow outwards and take on a rounded appearance.",Rounded neck,HP:0002947
2138,Vertebral fusion,0002948,A developmental defect leading to the union of two adjacent vertebrae.,"Fused vertebrae, Fusion of vertebral bodies, Spinal fusion, Vertebral body fusion",HP:0002948
2139,Fused cervical vertebrae,0002949,A congenital anomaly characterized by a joining (fusion) of two or more cervical vertebral bodies with one another.,"Cervical spine fusion, Cervical vertebral fusion, Fused neck, Fusion of cervical vertebrae",HP:0002949
2140,Partial absence of cerebellar vermis,0002951,Congenital absence of a part of the vermis of cerebellum.,,HP:0002951
2141,Vertebral compression fracture,0002953,,"Compression fracture of a vertebral body, Fractures of vertebral bodies, Vertebral body compression, Vertebral collapse, Vertebral compression, Vertebral compression fractures, Vertebral compression or collapse",HP:0002953
2142,Granulomatosis,0002955,"A granulomatous inflammation leading to multiple granuloma formation, which is a specific type of inflammation. A granuloma is a focal compact collection of inflammatory cells, mononuclear cells predominating, usually as a result of the persistence of a non-degradable product and of active cell mediated hypersensitivity.",,HP:0002955
2143,Immune dysregulation,0002958,"Altered immune function characterized by lymphoid proliferation, immune activation, and excessive autoreactivity often leading to autoimmune/inflammatory complications.","Immune dysregulation, Unregulated immune response",HP:0002958
2144,Impaired Ig class switch recombination,0002959,"An impairment of the class-switch recombination process that normally leads B lymphocytes to produce IgG, IgA, or IgE.",Impaired B-lymphocyte isotype switching,HP:0002959
2145,Autoimmunity,0002960,The occurrence of an immune reaction against the organism's own cells or tissues.,"Autoimmune condition, Autoimmune disease, Autoimmune disorder, Autoimmunity",HP:0002960
2146,Dysgammaglobulinemia,0002961,"Selective deficiency of one or more, but not all, classes of immunoglobulins.",,HP:0002961
2147,Abnormal delayed hypersensitivity skin test,0002963,Delay in cutaneous immune reaction to specific antigens mediated not by antibodies but by cells. The delayed hypersensitivity test is an immune function test measuring the presence of activated T cells that recognize a specific antigen and is performed by injecting a small amount of the antigen into the skin. The area of the injection is examined 48-72 hours thereafter.,,HP:0002963
2148,Cutaneous anergy,0002965,Inability to react to a delayed hypersensitivity skin test.,"Absence of delayed hypersensitivity skin test, Lack of delayed skin hypersensitivity reaction",HP:0002965
2149,Cubitus valgus,0002967,Abnormal positioning in which the elbows are turned out.,Outward turned elbows,HP:0002967
2150,Genu varum,0002970,A positional abnormality marked by outward bowing of the legs in which the knees stay wide apart when a person stands with the feet and ankles together.,"Genu vara, Genua vara, Outward bow-leggedness, Outward bowing at knees",HP:0002970
2151,Absent microvilli on the surface of peripheral blood lymphocytes,0002971,"Absence of the fingerlike protrusive, actin-dependent structures found on the surface of peripheral blood lymphocytes.",,HP:0002971
2152,Reduced delayed hypersensitivity,0002972,Decreased ability to react to a delayed hypersensitivity skin test.,"Decreased reactivity to skin test antigens, Deficiency of delayed skin hypersensitivity, Impaired delayed hypersensitivity",HP:0002972
2153,Abnormal forearm morphology,0002973,An abnormality of the lower arm.,Abnormality of the forearm,HP:0002973
2154,Radioulnar synostosis,0002974,An abnormal osseous union (fusion) between the radius and the ulna.,Fused forearm bones,HP:0002974
2155,Aplasia/Hypoplasia involving the central nervous system,0002977,Absence or underdevelopment of tissue in the central nervous system.,"Absent/underdeveloped central nervous system tissue, Aplasia/Hypoplasia involving the CNS",HP:0002977
2156,Bowing of the legs,0002979,A bending or abnormal curvature affecting a long bone of the leg.,"Bow legs, Bow-leggedness, Bowed legs, Bowed lower limbs",HP:0002979
2157,Femoral bowing,0002980,Bowing (abnormal curvature) of the femur.,"Bowed femur, Bowed femura, Bowed femurs, Bowed thighbone",HP:0002980
2158,Abnormality of the calf,0002981,"An abnormality of the calf, i.e. of the posterior part of the lower leg.",Abnormality of the calf,HP:0002981
2159,Tibial bowing,0002982,A bending or abnormal curvature of the tibia.,"Bowed shankbone, Bowed shinbone, Bowed tibia, Bowing of the tibia",HP:0002982
2160,Micromelia,0002983,The presence of abnormally small extremities.,Smaller or shorter than typical limbs,HP:0002983
2161,Hypoplasia of the radius,0002984,Underdevelopment of the radius.,"Hypoplastic radii, Hypoplastic radius, Radial hypoplasia, Short radii, Short radius, Shortening of radius, Underdeveloped outer large forearm bone",HP:0002984
2162,Radial bowing,0002986,A bending or abnormal curvature of the radius.,"Bowed radii, Bowed radius, Bowing of outer large bone of the forearm, Bowing of radius bone of the forearm",HP:0002986
2163,Elbow flexion contracture,0002987,"An elbow contracture that limits the ability of the elbow joint to be extended (straightened), meaning that the elbow is fixed in an flexed (bent) position.","Elbow flexion contractures, Elbow flexion deformity, Fixed flexion at the elbow joint",HP:0002987
2164,Fibular aplasia,0002990,Absence of the fibula.,"Absent calf bone, Absent fibulae, Absent-hypoplastic fibulae",HP:0002990
2165,Abnormality of fibula morphology,0002991,"An anomaly of the calf bone (fibula), one of the two bones of the calf.",Abnormality of the calf bone,HP:0002991
2166,Abnormality of tibia morphology,0002992,Abnormality of the tibia (shinbone).,"Abnormality of the shankbone, Abnormality of the shinbone",HP:0002992
2167,Limited elbow movement,0002996,,"Decreased elbow mobility, Limited elbow mobility, Limited elbow movement, Restricted elbow motion",HP:0002996
2168,Patellar dislocation,0002999,The kneecap normally is located within the groove termed trochlea on the distal femur and can slide up and down in it. Patellar dislocation occurs if the patella fully dislocates out of the groove.,"Dislocated kneecap, Dislocated patellae, Dislocation of patella",HP:0002999
2169,Glomus jugular tumor,0003001,,"Glomus jugular tumour, Glomus jugulare tumor, Glomus jugulare tumors, Glomus jugulare tumour, Glomus jugulare tumours",HP:0003001
2170,Breast carcinoma,0003002,The presence of a carcinoma of the breast.,Breast cancer,HP:0003002
2171,Colon cancer,0003003,,Colon cancer,HP:0003003
2172,Ganglioneuroma,0003005,"A benign neoplasm that usually arises from the sympathetic trunk in the mediastinum, representing a tumor of the sympathetic nerve fibers arising from neural crest cells.",,HP:0003005
2173,Neuroblastoma,0003006,"Neuroblastoma is a solid tumor that originate in neural crest cells of the sympathetic nervous system. Most neuroblastomas originate in the abdomen, and most abdominal neuroblastomas originate in the adrenal gland. Neuroblastomas can also originate in the thorax, usually in the posterior mediastinum.",Cancer of early nerve cells,HP:0003006
2174,Enhanced neurotoxicity of vincristine,0003009,,,HP:0003009
2175,Prolonged bleeding time,0003010,Prolongation of the time taken for a standardized skin cut of fixed depth and length to stop bleeding.,"Increased bleeding time, Prolonged bleeding time",HP:0003010
2176,Abnormality of the musculature,0003011,"Abnormality originating in one or more muscles, i.e., of the set of muscles of body.",Muscular abnormality,HP:0003011
2177,Bulging epiphyses,0003013,A morphological abnormality of epiphyses whereby they are abnormally outwardly curving (protuberant).,Bulging end part of bone,HP:0003013
2178,Flared metaphysis,0003015,"The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones.","Flared wide portion of long bone, Flared, widened metaphyses, marked metaphyseal flaring of long bones, Metaphyseal flaring, Metaphyseal flaring of long bones, Metaphyseal splaying, Metaphyses flared, Splayed metaphyses",HP:0003015
2179,Metaphyseal widening,0003016,Abnormal widening of the metaphyseal regions of long bones.,"Broad wide portion of long bone, Wide metaphyses, Widened long bone metaphyses, Widened metaphyses",HP:0003016
2180,Abnormality of the wrist,0003019,"Abnormality of the wrist, the structure connecting the hand and the forearm.","Abnormalities of the wrists, Abnormality of the wrist",HP:0003019
2181,Enlargement of the wrists,0003020,,Enlargement of the wrists,HP:0003020
2182,Metaphyseal cupping,0003021,Metaphyseal cupping refers to an inward bulging of the metaphyseal profile giving the metaphysis a cup-like appearance.,,HP:0003021
2183,Hypoplasia of the ulna,0003022,Underdevelopment of the ulna.,"Hypoplastic ulna, Short ulna, Short ulnae, Ulnar hypoplasia, Underdeveloped inner large forearm bone, Underdeveloped ulna",HP:0003022
2184,Bowing of limbs due to multiple fractures,0003023,Curvature of the shafts of the long bones due to multiple fractures.,Bowed limbs due to multiple fractures,HP:0003023
2185,Metaphyseal irregularity,0003025,Irregularity of the normally smooth surface of the metaphyses.,"Frayed, irregular metaphyses, Frayed, irregular, metaphyses, Irregular metaphyses, Irregular wide portion of a long bone, Metaphyseal fraying, Metaphyseal irregularities",HP:0003025
2186,Short long bone,0003026,One or more abnormally short long bone.,"Long bone shortening, Short long bone, Short tubular bones, shortened long tubular bones",HP:0003026
2187,Mesomelia,0003027,Shortening of the middle parts of the limbs (forearm and lower leg) in relation to the upper and terminal segments.,"Disproportionately short middle portion of limb, Mesomelic limb shortening, Mesomelic shortening of limbs, Symmetric mesomelic limb shortness",HP:0003027
2188,Abnormality of the ankles,0003028,,Abnormality of the ankles,HP:0003028
2189,Enlargement of the ankles,0003029,,Enlargement of the ankles,HP:0003029
2190,Ulnar bowing,0003031,Bending of the diaphysis (shaft) of the ulna.,"Bowed ulna, Curved ulna, Curving of inner forearm bone",HP:0003031
2191,Diaphyseal sclerosis,0003034,An elevation in bone density in one or more diaphyses. Sclerosis is normally detected on a radiograph as an area of increased opacity.,"Craniodiaphyseal osteosclerosis, Diaphyseal osteosclerosis, Increased bone density in shaft of long bone",HP:0003034
2192,Enlarged joints,0003037,Increase in size of one or more joints.,Enlarged joints,HP:0003037
2193,Fibular hypoplasia,0003038,Underdevelopment of the fibula.,"Hypoplastic fibula, Short calf bone, Short fibula, Short fibulae",HP:0003038
2194,Arthropathy,0003040,,Disease of the joints,HP:0003040
2195,Humeroradial synostosis,0003041,An abnormal osseous union (fusion) between the radius and the humerus.,"Fusion of upper and lower arm bones, Humeral radial synostosis, Humeral-radial synostosis, Radiohumeral synostosis of elbow, Synostosis of radius and humerus",HP:0003041
2196,Elbow dislocation,0003042,"Dislocation of the distal humerus out of the elbow joint, where the radius, ulna, and humerus meet.","Dislocations of the elbows, Elbow dislocation, Elbow dislocations, Radiocapitellar dislocation, Radiohumeral dislocation, Ulnohumeral dislocation",HP:0003042
2197,Abnormal shoulder morphology,0003043,"An abnormality of the shoulder, which is defined as the structures surrounding the shoulder joint where the humerus attaches to the scapula.",Abnormality of the shoulder,HP:0003043
2198,Shoulder flexion contracture,0003044,"Chronic reduction in active and passive mobility of the shoulder joint due to structural changes in muscle, tendons, ligaments, or skin that prevents normal movement.",,HP:0003044
2199,Abnormal patella morphology,0003045,Abnormality of the patella (knee cap).,"Abnormal kneecap, Abnormality of the patella, Patellar abnormality",HP:0003045
2200,Radial head subluxation,0003048,Partial dislocation of the head of the radius.,"Radial subluxation, Radial-head subluxation",HP:0003048
2201,Ulnar deviation of the wrist,0003049,,Ulnar deviation of wrists,HP:0003049
2202,Enlarged metaphyses,0003051,Abnormal increase in size of one or more metaphyses.,Enlarged wide portion of a long bone,HP:0003051
2203,Epiphyseal deformities of tubular bones,0003053,,,HP:0003053
2204,Tetraamelia,0003057,Amelia of all four limbs.,Tetra-amelia,HP:0003057
2205,Abnormality of the radioulnar joints,0003059,,,HP:0003059
2206,Abnormality of the humerus,0003063,"An abnormality of the humerus (i.e., upper arm bone).",Abnormality of the humeri,HP:0003063
2207,Patellar hypoplasia,0003065,Underdevelopment of the patella.,"Hypoplastic patellae, Small kneecap, Small patella, Small patellae, Underdeveloped kneecap",HP:0003065
2208,Limited knee extension,0003066,Reduced ability to extend (straighten) the knee joint.,Limited knee extension,HP:0003066
2209,Madelung deformity,0003067,"An anomaly related to partial closure, or failure of development of the ulnar side of the distal radial growth plate, which results in an arrest of epiphyseal growth of the medial and volar portions of the distal radius. This leads to shortening of the radius and relative overgrowth of the ulna.",Madelung wrist deformity,HP:0003067
2210,Madelung-like forearm deformities,0003068,,,HP:0003068
2211,Elbow ankylosis,0003070,,,HP:0003070
2212,Flattened epiphysis,0003071,Abnormal flatness (decreased height) of epiphyses.,"Flat end part of bone, Flat epiphyses",HP:0003071
2213,Hypercalcemia,0003072,An abnormally increased calcium concentration in the blood.,"High blood calcium levels, Hypercalcaemia, Increased calcium in blood",HP:0003072
2214,Hypoalbuminemia,0003073,Reduction in the concentration of albumin in the blood.,"Hypoalbuminaemia, Low blood albumin",HP:0003073
2215,Hyperglycemia,0003074,An increased concentration of glucose in the blood.,"High blood glucose, High blood sugar",HP:0003074
2216,Hypoproteinemia,0003075,A decreased concentration of protein in the blood.,Decreased protein levels in blood,HP:0003075
2217,Glycosuria,0003076,An increased concentration of glucose in the urine.,"Glucose in urine, Glucosuria",HP:0003076
2218,Hyperlipidemia,0003077,An elevated lipid concentration in the blood.,Elevated lipids in blood,HP:0003077
2219,Defective DNA repair after ultraviolet radiation damage,0003079,,,HP:0003079
2220,Hydroxyprolinuria,0003080,An increased concentration of 4-hydroxy-L-proline in the urine.,Elevated urinary hydroxyproline,HP:0003080
2221,Increased urinary potassium,0003081,An increased concentration of potassium(1+) in the urine.,"Hyperkaliuresis, Increased urinary K, Increased urinary potassium",HP:0003081
2222,Dislocated radial head,0003083,A dislocation of the head of the radius from its socket in the elbow joint.,"Congenital radial head dislocation, Dislocated radius, Dislocation of radial head, Dislocation of the radial head, Radial dislocation, Radial head dislocation, Radial head dislocation/subluxation",HP:0003083
2223,Fractures of the long bones,0003084,"An increased tendency to fractures of the long bones (Mainly, the femur, tibia, fibula, humerus, radius, and ulna).",Increased long bone fracture rate,HP:0003084
2224,Long fibula,0003085,Disproportionately long fibulae.,"Disproportionately long fibula, Long calf bone, Long fibula",HP:0003085
2225,Acromesomelia,0003086,Small hands and feet.,,HP:0003086
2226,Premature osteoarthritis,0003088,,"Premature arthritis, Premature osteoarthritis",HP:0003088
2227,Hamstring contractures,0003089,,Hamstring contractures,HP:0003089
2228,Hypoplasia of the capital femoral epiphysis,0003090,Underdevelopment of the proximal epiphysis of the femur.,"Small capital femoral epiphyses, Small femoral capital epiphyses, Small innermost thighbone end part, Small proximal femoral epiphyses, Underdevelopment of the innermost thighbone end part",HP:0003090
2229,Trophic limb changes,0003091,Trophic changes occurring in a limb.,,HP:0003091
2230,Limited hip extension,0003093,"Limitation of the extension of the hip, i.e., decreased ability to straighten the hip joint and thereby increase the angle between torso and thigh; moving the thigh or top of the pelvis backward.","Limited hip extension, Restricted hip extension",HP:0003093
2231,Septic arthritis,0003095,,,HP:0003095
2232,Short femur,0003097,An abnormal shortening of the femur.,"Femoral hypoplasia, Hypoplasia of the femora, Short femurs, Short thighbone",HP:0003097
2233,Fibular overgrowth,0003099,Relatively increased growth of the fibula compared to that of the tibia.,Overgrowth of calf bone,HP:0003099
2234,Slender long bone,0003100,Reduced diameter of a long bone.,"Gracile long bones, Long bones slender, Slender long bone, Slender, gracile long tubular bones, Thin long bones, Thin, gracile long bones",HP:0003100
2235,Increased carrying angle,0003102,"An abnormal increase in the carrying angle, which is the angle he long axis of the extended forearm as it lies lateral to the long axis of the arm.",,HP:0003102
2236,Abnormal cortical bone morphology,0003103,"An abnormality of compact bone (also known as cortical bone), which forms the dense surface of bones.","Abnormal compact bone morphology, Abnormality of cortical bone",HP:0003103
2237,Protuberances at ends of long bones,0003105,"The presence of multiple protuberances (bulges, or knobs) at the ends of the long bones.",Protuberances at ends of long bones,HP:0003105
2238,Subperiosteal bone resorption,0003106,Loss of bone mass occurring beneath the periosteum (the periosteum is the connective-tissue membrane that surrounds all bones except at the articular surfaces). This process may create a serrated and lace-like appearance in periosteal cortical bone.,Subperiosteal erosions,HP:0003106
2239,Abnormal circulating cholesterol concentration,0003107,Any deviation from the normal concentration of cholesterol in the blood circulation.,"Abnormal cholesterol homeostasis, Abnormality of cholesterol metabolism",HP:0003107
2240,Hyperglycinuria,0003108,An increased concentration of glycine in the urine.,"Glycinuria, High urine glycine levels",HP:0003108
2241,Hyperphosphaturia,0003109,An increased excretion of phosphates in the urine.,"High urine phosphate levels, Phosphaturia",HP:0003109
2242,Abnormality of urine homeostasis,0003110,An abnormality of the composition of urine or the levels of its components.,"Pee issues, Urine issues",HP:0003110
2243,Abnormal blood ion concentration,0003111,Abnormality of the homeostasis (concentration) of a monoatomic ion.,"Abnormality of ion homeostasis, Electrolyte disorders, Electrolyte disturbance",HP:0003111
2244,Abnormal circulating amino acid concentration,0003112,The presence of an abnormal decrease or increase of one or more amino acids in the blood circulation.,"Abnormality of serum amino acid level, Abnormality of serum amino acid levels",HP:0003112
2245,Hypochloremia,0003113,An abnormally decreased chloride concentration in the blood.,Low blood chloride levels,HP:0003113
2246,Abnormal EKG,0003115,Abnormal rhythm of the heart.,"Abnormal ECG, Abnormal EKG, Abnormal electrocardiogram, EKG abnormality",HP:0003115
2247,Abnormal circulating hormone concentration,0003117,An abnormal concentration of a hormone in the blood.,"Abnormal circulating hormone level, Abnormality of circulating hormone level",HP:0003117
2248,Increased circulating cortisol level,0003118,"Overproduction of the hormone of cortisol by the adrenal cortex, resulting in a characteristic combination of clinical symptoms termed Cushing syndrome, with truncal obesity, a round, full face, striae atrophicae and acne, muscle weakness, and other features.","Cushing syndrome, Hypercortisolism, Increased circulating cortisol level, Increased cortisol production",HP:0003118
2249,Abnormal circulating lipid concentration,0003119,Any deviation from the normal concentration of a lipid in the blood circulation.,,HP:0003119
2250,Limb joint contracture,0003121,"A contracture (chronic loss of joint motion due to structural changes in muscle, tendons, ligaments, or skin) that prevent normal movement of one or more joints of the limbs.",Limb contractures,HP:0003121
2251,Hypercholesterolemia,0003124,An increased concentration of cholesterol in the blood.,"Elevated serum cholesterol, Elevated total cholesterol, Increased total cholesterol",HP:0003124
2252,Reduced factor VIII activity,0003125,"Reduced activity of coagulation factor VIII. Factor VIII (fVIII) is a cofactor in the intrinsic clotting cascade that is activated to fVIIIa in the presence of minute quantities of thrombin. fVIIIa acts as a receptor, for factors IXa and X.",,HP:0003125
2253,Low-molecular-weight proteinuria,0003126,Excretion in urine of proteins of a size smaller than albumin (molecular weight 69 kD).,Tubular proteinuria,HP:0003126
2254,Hypocalciuria,0003127,An abnormally decreased calcium concentration in the urine.,Low urine calcium levels,HP:0003127
2255,Lactic acidosis,0003128,"An abnormal buildup of lactic acid in the body, leading to acidification of the blood and other bodily fluids.","Hyperlacticacidemia, Increased lactate in body, Lactic acidemia, Lacticacidemia, Lacticacidosis",HP:0003128
2256,Abnormal peripheral myelination,0003130,An abnormality of the myelination of motor and sensory peripheral nerves. These are axons for motor nerves and dendrites for sensory nerves in the strict anatomic sense.,,HP:0003130
2257,Cystinuria,0003131,An increased concentration of cystine in the urine.,High urine cystine levels,HP:0003131
2258,Abnormality of the spinocerebellar tracts,0003133,"An abnormality of the spinocerebellar tracts, a set of axonal fibers originating in the spinal cord and terminating in the ipsilateral cerebellum. The spinocerebellar tract convey information to the cerebellum about limb and joint position (proprioception). They comprise the ventral spinocerebellar tract, the anterior spinocerebellar tract, and the posterior spinocerebellar tract.",,HP:0003133
2259,Abnormality of peripheral nerve conduction,0003134,An abnormality of the conduction of electrical impulses by peripheral (motor or sensory) nerves. This finding is elicited by a nerve conduction study (NCS).,Sensory and motor nerve conduction abnormalities,HP:0003134
2260,Prolinuria,0003137,An increased concentration of proline in the urine.,,HP:0003137
2261,Increased blood urea nitrogen,0003138,An increased amount of nitrogen in the form of urea in the blood.,"Increased blood urea nitrogen, Increased BUN",HP:0003138
2262,Panhypogammaglobulinemia,0003139,A reduction in the circulating levels of all the major classes of immunoglobulin. is characterized by profound decreases in all classes of immunoglobulin with an absence of circulating B lymphocytes.,"Panhypogammaglobulinaemia, Panypogammaglobulinemia",HP:0003139
2263,T-wave inversion in the right precordial leads,0003140,,,HP:0003140
2264,Increased LDL cholesterol concentration,0003141,An elevated concentration of low-density lipoprotein cholesterol in the blood.,"Hyperbetalipoproteinemia, Increased beta-lipoproteins, Increased circulating LDL level, Increased circulating low-density lipoprotein cholesterol, Increased circulating low-density lipoprotein levels, Increased LDL cholesterol, Increased LDLc concentration, Increased plasma LDL levels",HP:0003141
2265,Excessive purine production,0003142,,,HP:0003142
2266,Increased serum serotonin,0003144,A increased concentration of serotonin in the blood.,Increased serum serotonin,HP:0003144
2267,Decreased adenosylcobalamin,0003145,Decreased concentration of adenosylcobalamin. Adenosylcobalamin is one of the active forms of vitamin B12.,Decreased ADOCBL,HP:0003145
2268,Hypocholesterolemia,0003146,An decreased concentration of cholesterol in the blood.,Decreased circulating cholesterol level,HP:0003146
2269,Elevated serum acid phosphatase,0003148,,"Acid phosphatase elevated, Elevated serum acid phosphatase",HP:0003148
2270,Hyperuricosuria,0003149,An abnormally high level of uric acid in the urine.,"High urine uric acid level, Increased urinary urate",HP:0003149
2271,Glutaric aciduria,0003150,An increased concentration of glutaric acid in the urine.,"Glutarate aciduria, Glutaricaciduria, Increased glutarate level in urine",HP:0003150
2272,Cystathioninuria,0003153,An elevated urinary concentration of cystathionine.,High urine cystathionine levels,HP:0003153
2273,Increased circulating ACTH level,0003154,"An abnormal increased in the concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), in the blood.","High blood corticotropin levels, Increased circulating ACTH level, Increased plasma ACTH",HP:0003154
2274,Elevated circulating alkaline phosphatase concentration,0003155,Abnormally increased serum levels of alkaline phosphatase activity.,"Elevated alkaline phosphatase, Elevated ALP, Greatly elevated alkaline phosphatase, High serum alkaline phosphatase, Hyperphosphatasemia, Hyperphosphatasia, Increased alkaline phosphatase, Increased serum alkaline phosphatase",HP:0003155
2275,Hyposthenuria,0003158,"An abnormally low urinary specific gravity, i.e., reduced concentration of solutes in the urine.",Reduced urinary osmolality,HP:0003158
2276,Hyperoxaluria,0003159,Increased excretion of oxalates in the urine.,"High urine oxalate levels, Increased level of oxalate in urine",HP:0003159
2277,Abnormal isoelectric focusing of serum transferrin,0003160,"Glycosylated transferrin concentrations can be measured in serum as a marker of N-linked glycosylation fidelity. In the traditional nomenclature for congenital disorders of glycosylation, absence of entire glycans was designated type I, and loss of one or more monosaccharides as type II. These terms are retained for historical reasons but for new annotations the precise glycosylation defect should be recorded.","Abnormal isoelectric focusing of transferrin, Abnormal transferrin isoelectric focusing",HP:0003160
2278,4-Hydroxyphenylpyruvic aciduria,0003161,Increased relative concentration of 4-hydroxyphenylpyruvic acid in the urine.,Hydroxyphenylpyruvic aciduria,HP:0003161
2279,Fasting hypoglycemia,0003162,,Low blood sugar when fasting,HP:0003162
2280,Elevated urinary delta-aminolevulinic acid,0003163,An increased concentration of 5-aminolevulinic acid (CHEBI:17549) in the urine.,Elevated urinary delta-aminolevulinic acid,HP:0003163
2281,Hypothalamic gonadotropin-releasing hormone deficiency,0003164,,Hypothalamic GNRH deficiency,HP:0003164
2282,Elevated circulating parathyroid hormone level,0003165,An abnormal increased concentration of parathyroid hormone.,"Elevated circulating PTH level, Elevated serum parathyroid hormone, Elevated serum parathyroid hormone level, Elevated serum pth, Increased serum parathyroid hormone",HP:0003165
2283,Increased urinary taurine,0003166,Increased concentration of taurine in the urine.,Increased urinary taurine,HP:0003166
2284,Carnosinuria,0003167,An increased concentration of carnosine in the urine.,High urine carnosine levels,HP:0003167
2285,Dibasicaminoaciduria,0003168,"An increased level of a dibasic amino acid in the urine. Dibasic amino acids are usually refered to simply as basic aminoacids because they contain basic side chains at neutral pH. These are arginine (Arg), lysine (Lys), and histidine (His).",,HP:0003168
2286,Abnormal acetabulum morphology,0003170,"An abnormality of the acetabulum, i.e., the Acetabular part of hip bone, which together with the head of the femur forms the hip joint.","Abnormality of the acetabulum, Abnormality of the hipbone socket, Acetabular abnormality",HP:0003170
2287,Abnormality of the pubic bone,0003172,"An anomaly of the the pubic bone, i.e., of the ventral and anterior of the three principal components (publis, ilium, ischium) of the hip bone.","Abnormality of the pubic bone, Abnormality of the pubic bones, Abnormality of the pubis",HP:0003172
2288,Hypoplastic pubic bone,0003173,"Underdevelopment of the pubis, which together with the ilium and the ischium, is one of the three bones that make up the hip bone.","Hypoplastic pubic bones, Hypoplastic pubis",HP:0003173
2289,Abnormality of the ischium,0003174,"An anomaly of the ischium, which forms the lower and back part of the hip bone.","Abnormality of the ischial bones, Anomaly of the ischium",HP:0003174
2290,Hypoplastic ischia,0003175,"Underdevelopment of the ischium, which forms the lower and back part of the hip bone.","Hypoplastic ischial bones, Hypoplastic ischii, Hypoplastic ischium",HP:0003175
2291,Squared iliac bones,0003177,A shift from the normally round (convex) appearance of the iliac wing towards a square-like appearance.,"Square iliac bones, Squaring of iliac bones",HP:0003177
2292,Protrusio acetabuli,0003179,Intrapelvic bulging of the medial acetabular wall.,"Abnormally indented hip sockets, Protrusio acetabulae",HP:0003179
2293,Flat acetabular roof,0003180,"Flattening of the superior part of the acetabulum, which is a cup-shaped cavity at the base of the hipbone into which the ball-shaped head of the femur fits. The acetabular roof thereby appears horizontal rather than arched, as it normally does.","Acetabular angle flat, Flat acetabular roofs, Flattened acetabular roof, Horizontal acetabulae, Horizontal acetabular roof, Horizontal acetabular roofs",HP:0003180
2294,Shallow acetabular fossae,0003182,,"Shallow acetabula, Shallow acetabulae, Shallow acetabular fossa, Shallow acetabulum",HP:0003182
2295,Wide pubic symphysis,0003183,Abnormally increased width of the pubic symphysis is the midline cartilaginous joint uniting the superior rami of the left and right pubic bones.,Wide symphysis of pubis,HP:0003183
2296,Decreased hip abduction,0003184,Reduced ability to move the femur outward to the side.,Limited hip abduction,HP:0003184
2297,Short greater sciatic notch,0003185,"The sacroiliac joint in the bony pelvis connects the sacrum and the ilium of the pelvis, which are joined by strong ligaments. The notch is located directly superior to the joint. This term refers to a reduction in the height of the notch.","Short sacroiliac notch, Shortened sacroiliac notches, Small sacroiliac notch",HP:0003185
2298,Inverted nipples,0003186,The presence of nipples that instead of pointing outward are retracted inwards.,"Invaginated nipples, Inverted nipples",HP:0003186
2299,Breast hypoplasia,0003187,Underdevelopment of the breast.,Underdeveloped breasts,HP:0003187
2300,Long nose,0003189,"Distance from nasion to subnasale more than two standard deviations above the mean, or alternatively, an apparently increased length from the nasal root to the nasal base.","Elongated nose, Increased height of nose, Increased length of nose, Increased nasal height, Increased nasal length, Long nose, Nasal elongation",HP:0003189
2301,Cleft ala nasi,0003191,The presence of a notch in the margin of the ala nasi.,"Ala nasi, cleft, Alar clefts, Cleft nasal alae, Cleft nostril, Notched nasal alae",HP:0003191
2302,Allergic rhinitis,0003193,"It is characterized by one or more symptoms including sneezing, itching, nasal congestion, and rhinorrhea.","Hay fever, Hayfever",HP:0003193
2303,Short nasal bridge,0003194,"Decreased superior-inferior length of the nasal bridge, which is the saddle-shaped area that includes the nasal root and the lateral aspects of the nose.","Decreased length of bridge of nose, Decreased length of nasal bridge, Short bridge of nose, Short nasal bridge",HP:0003194
2304,Short nose,0003196,"Distance from nasion to subnasale more than two standard deviations below the mean, or alternatively, an apparently decreased length from the nasal root to the nasal tip.","Decreased length of nose, Hypoplastic nose, Nasal hypoplasia, Short nose, Shortened nose",HP:0003196
2305,Myopathy,0003198,A disorder of muscle unrelated to impairment of innervation or neuromuscular junction.,"Muscle tissue disease, Myopathic changes",HP:0003198
2306,Decreased muscle mass,0003199,,Decreased muscle mass,HP:0003199
2307,Ragged-red muscle fibers,0003200,"An abnormal appearance of muscle fibers observed on muscle biopsy. Ragged red fibers can be visualized with Gomori trichrome staining as irregular and intensely red subsarcolemmal zones, whereas the normal myofibrils are green. The margins of affect fibers appear red and ragged. The ragged-red is due to the accumulation of abnormal mitochondria below the plasma membrane of the muscle fiber, leading to the appearance of a red rim and speckled sarcoplasm.","Mitochondrial proliferation in muscle tissue, Ragged red muscle fibers, Ragged red muscle fibres, Ragged-red fibers, Ragged-red fibres, Ragged-red muscle fibres",HP:0003200
