Term,ID,Definition,Synonyms
Lacrimal punctal atresia,7820,Congenital absence or closure of the opening of the lacrimal punctum.,"Atretic lacrimal puncta, Atretic lacrimal punctum"
Central retinal exudate,7822,,
Total ophthalmoplegia,7824,Paralysis of both the extrinsic and intrinsic ocular muscles.,"Complete ophthalmoplegia, Global paralysis of gaze, Total internal and external ophthalmoplegia"
Nodular corneal dystrophy,7827,,
Adult-onset night blindness,7830,Inability to see well at night or in poor light with onset in adulthood.,Adult-onset night blindness
Nonprogressive restrictive external ophthalmoplegia,7831,Nonprogressive restriction of movement of the external ocular muscles such that the eyes of affected individuals are partially or completely fixed in a strabismic position. Residual eye movements are significantly limited.,
Pigmentation of the sclera,7832,,
Anterior chamber synechiae,7833,,
Progressive cataract,7834,A kind of cataract that progresses with age.,"Cataract, progressive"
S-shaped palpebral fissures,7835,,"S-shaped eyes, S-shaped opening between the eyelids"
Mosaic corneal dystrophy,7836,,
Progressive ptosis,7838,A progressive form of ptosis.,Progressive drooping of upper eyelid
Long upper eyelashes,7840,Increased length of the upper eyelashes.,"Ciliary trichomegaly of upper eyelashes, Increased length of upper eyelashes, Long upper eyelashes"
Amyloid deposition in the vitreous humor,7841,"Deposition of hyaline extracellular material (amyloid) into the vitreous humor, which can manifest as vitreous opacities and reduced visual acuity.","Amyloid deposition in the vitreous humour, Vitreous amyloid deposits"
Attenuation of retinal blood vessels,7843,,Narrowing of blood vessels in back of eye
Retinal vascular proliferation,7850,,
Glaucomatous visual field defect,7854,,
Punctate opacification of the cornea,7856,Punctate opacification (reduced transparency) of the corneal stroma.,Punctate corneal opacities
Chorioretinal lacunae,7858,Punched out lesions in the pigmented layer of the retina.,
Congenital horizontal nystagmus,7859,Horizontal nystagmus dating from or present at birth.,"Nystagmus, congenital horizontal"
Retinal calcification,7862,Deposition of calcium salts in the retina.,
Retinal infarction,7866,,
Restrictive partial external ophthalmoplegia,7867,Fibrosis of only some of the external ocular muscles such that the eyes of affected individuals are partially or completely fixed in a strabismic position.,
Choroidal hemangioma,7872,The presence of multiple hemangiomas in the choroid. These are generally reddish or orange or can have increased pigmentation maiking them difficult to distinguish from choroidal melanomas.,
Abnormally prominent line of Schwalbe,7873,,Prominent Schwalbe lines
Almond-shaped palpebral fissure,7874,"A shape created by an acute downward arching of the upper eyelid and upward arching of the lower eyelid, toward the medial canthus, which gives the outline of the palpebral fissures the configuration of an almond. Thus, the maximum distance between the fissures is offset from, and medial to, the center point.","Almond shaped eyes, Almond-shaped opening between the eyelids"
Congenital blindness,7875,Blindness with onset at birth.,"Blindness present at birth, Congenital amaurosis"
Allergic conjunctivitis,7879,Allergic Conjunctivitis is an allergic inflammation of the conjunctiva.,
Marginal corneal dystrophy,7880,,
Central corneal dystrophy,7881,,
Slowed horizontal saccades,7885,An abnormally slow velocity of horizontal saccadic eye movements.,
Absent extraocular muscles,7886,Congenital absence of the extraocular muscles.,Missing eye muscles
Iridescent posterior subcapsular cataract,7889,A type of posterior subcapsular cataract characterized by an iridescent color.,"Cataracts, posterior, subcapsular, iridescent"
Hypoplasia of the lacrimal punctum,7892,Underdevelopment of the lacrimal puncta.,"Hypoplasia of the lacrimal puncta, Hypoplastic lacrimal puncta"
Hypopigmentation of the fundus,7894,"Reduced pigmentation of the fundus, typically generalised. Fundoscopy may reveal a low level pigment in both RPE and choroid with clear visibility of choroidal vessels (pale/albinoid) or low pigment level in the RPE with deep pigment in choroid so that visible choroidal vessels are separated by deeply pigmented zones (tesselated/tigroid).","Decreased fundus pigmentation, Fundus hypopigmentation"
Exudative retinopathy,7898,,
Retinal nonattachment,7899,Failure of attachment of the retina during development.,Congenital retinal non-attachment
Hypoplastic lacrimal duct,7900,,Underdeveloped tear duct
Vitreous hemorrhage,7902,Bleeding within the vitreous compartment of the eye.,Vitreous haemorrhage
Paravenous chorioretinal atrophy,7903,Chorioretinal atrophy along the retinal veins.,
Abnormal iris vasculature,7905,,Abnormality of iris blood vessels
Ocular hypertension,7906,Intraocular pressure that is 2 standard deviations above the population mean.,"Elevated intraocular pressure, Elevated IOP, High eye pressure, Increased intraocular pressure, Increased IOP, Raised intraocular pressure, Raised IOP"
Congenital bilateral ptosis,7911,,"Congenital drooping of both upper eyelids, Ptosis, bilateral congenital, Ptosis, congenital bilateral"
Reticular retinal dystrophy,7913,A type of of patterned retinal dystrophy that shows a reticular pattern of pigmentation.,
Polymorphous posterior corneal dystrophy,7915,"This corneal dystrophy affects the posterior limiting membrane of the cornea and is characterized by polymorphous plaques of calcium deposits in the deep stromal layers of the cornea, and occasionally by vesicular lesions of the endothelium and edema of the deep corneal stroma.",
Tractional retinal detachment,7917,"A type of retinal detachment arising due to a combination of contracting retinal membranes, abnormal vitreoretinal adhesions, and vitreous changes. It is usually seen in the context of diseases that induce a fibrovascular response, e.g. diabetes.",
Hypermyelinated retinal nerve fibers,7922,,"Hypermyelinated retinal nerve fibres, Retinal striation"
Slow decrease in visual acuity,7924,,"Slow decrease in sharpness of vision, Subacute deterioration of visual acuity"
Lacrimal duct aplasia,7925,A congenital defect resulting in absence of the lacrimal duct.,Absent tear duct
Abnormal flash visual evoked potentials,7928,"Anomaly of the visual evoked potentials elicited by a flash stimulus, generally a flash of light subtending an angle of at least 20 degrees of the visual field and presented in a dimly lit room.",
Peripheral retinal detachment,7929,Separation of the inner layers of the retina (neural retina) from the pigment epithelium occuring near the outer limit (periphery) of the retina.,
Bilateral congenital mydriasis,7932,Congenital abnormal dilation of the pupil on both sides.,
Broad lateral eyebrow,7933,Regional increase in the width (height) of the lateral eyebrow.,Wide lateral eyebrow
Juvenile posterior subcapsular lenticular opacities,7935,,
Restrictive external ophthalmoplegia,7936,Fibrosis of the external ocular muscles such that the eyes of affected individuals are partially or completely fixed in a strabismic position. Residual eye movements are significantly limited.,Restrictive ophthalmoplegia
Reticular pigmentary degeneration,7937,"A type of retinal reticular pigmentation that forms a polygonal, netlike arrangement of hyperpigmented lines forming geometric patterns in the fundus.","Fishnet retinal pigmentation, Honeycomb retinal degeneration"
Blue cone monochromacy,7939,A form of monochromacy in which vision is derived from the remaining preserved blue (S) cones and rod photoreceptors.,"Blue cone monochromatism, Incomplete achromatopsia, S-cone monochromacy"
Limited extraocular movements,7941,Limited mobility of the eye within its socket.,Limited extraocular movement
Internal ophthalmoplegia,7942,Paralysis of the iris and ciliary apparatus.,
Congenital stapes ankylosis,7943,A form of stapes ankylosis with congenital onset.,
Intermittent microsaccadic pursuits,7944,,
Unilateral narrow palpebral fissure,7946,A fixed reduction in the vertical distance between the upper and lower eyelids with short palpebral fissures on one side only.,"Narrow palpebral fissure, unilateral"
Pericentral retinitis pigmentosa,7947,"A subtype of retinitis pigmentosa in which, instead of the pathology starting in the mid-periphery like typical retinitis pigmentosa, the disease starts in the near periphery closer to the vascular arcades and tends to spare the far periphery.",
Dense posterior cortical cataract,7948,A type of posterior cortical cataract characterized by dense lenticular opacities.,
Peripapillary chorioretinal atrophy,7950,"Chorioretinal atrophy concentrated around the optic papilla (i.e., the optic nerve head).",
Corneal opacity,7957,A reduction of corneal clarity.,"Corneal clouding, Corneal opacities, Reduction of corneal clarity, Scarring or clouding of the cornea of the eye"
Optic atrophy from cranial nerve compression,7958,,
Speckled corneal dystrophy,7962,,
Pattern dystrophy of the retina,7963,"A spectrum of fundoscopic appearances characterized by the development of a variety of patterns of deposits predominantly in the macular area. The deposits are typically bilateral, relatively symmetrical, yellow/white and associated with changes at the level of the retinal pigment epithelium. With time, retinal atrophy may occur. A number of pattern dystrophy subtypes have been described including butterfly-shaped dystrophy, reticular dystrophy (net-like pattern) and fundus pulverulentus (granular, mottled pigmentation).",
Degenerative vitreoretinopathy,7964,,
Undetectable visual evoked potentials,7965,,"Absence of visual evoked potentials, Non-detectable VEP, Undetectable VEP"
Remnants of the hyaloid vascular system,7968,"Persistence of the hyaloid artery, which is the embryonic artery that runs from the optic disk to the posterior lens capsule may persist; the site of attachment may form an opacity. The hyaloid artery is a branch of the ophthalmic artery, and usually regresses completely before birth. This features results from a failure of regression of the hyaloid vessel, which supplies the primary vitreous during embryogenesis and normally regresses in the third trimester of pregnancy, leading to a particular form of posterior cataract.","Congenital retinal septum, Persistent fetal vasculature, Persistent foetal vasculature, Persistent hyperplasia of primary vitreous, Persistent hyperplastic primary vitreous, Persistent hypertrophic primary vitreous, Persistent posterior fetal fibrovascular sheath of the lens, Persistent posterior foetal fibrovascular sheath of the lens, Persistent tunica vasculosa lentis"
Congenital ptosis,7970,,Congenital drooping upper eyelid
Lamellar cataract,7971,"A congenital cataract in which opacity is limited to layers of the lens external to the nucleus (i.e., the perinuclear region), i.e., between the nuclear and cortical layers of the lens.",
Retinal dysplasia,7973,The presence of developmental dysplasia of the retina.,Retinal dysgenesis
Hypometric horizontal saccades,7975,"Saccadic undershoot of horizontal saccadic eye movements, i.e., a horizontal saccadic eye movement that has less than the magnitude that would be required to gain fixation of the object.",
Cerulean cataract,7976,"Cerulean cataracts are a kind of congenital cataract having peripheral bluish and white opacifications in concentric layers with occasional central lesions arranged radially. Although the opacities may be observed during fetal development and childhood, usually visual acuity is only mildly reduced until adulthood, when lens extraction is generally necessary.","Cataracts, congenital, cerulean"
Gaze-evoked horizontal nystagmus,7979,Horizontal nystagmus made apparent by looking to the right or to the left.,"Nystagmus, horizontal, gaze-evoked"
Absent retinal pigment epithelium,7980,,
Electronegative electroretinogram,7984,"A dark-adapted bright flash electroretinogram in which the b-wave that is of markedly lower amplitude than the associated a-wave (source: Holder GE., Inherited Chorioretinal Dystrophies: A Textbook and Atlas; 2014; p.17; ISBN 978-3-540-69466-3).","Electronegative ERG, Electroretinogram: reduced b-wave amplitude, Reduced amplitude of dark-adapted bright flash electroretinogram b-wave, Reduced electroretinogram rod b-wave, Reduced ERG amplitude of b-wave"
Retinal arteriolar occlusion,7985,"Blockage of retinal arteriole, generally associated with interruption of blood flow and oxygen delivery to affected regions of the retina.",Blocked retinal artery
Increased retinal vascularity,7986,,
Progressive visual field defects,7987,,
Macular hypopigmentation,7988,Decreased amount of pigmentation in the macula lutea.,
Intraretinal exudate,7989,Retinal exudate within the retinal tissue itself.,
Hypoplastic iris stroma,7990,Underdevelopment of the stroma of iris.,"Hypoplastic iris stoma, Iris stromal hypoplasia, Underdeveloped iris stroma"
Lattice retinal degeneration,7992,,
Malformed lacrimal duct,7993,Congenital malformation of the lacrimal duct associated with incomplete development of the bony nasolacrimal canal or craniofacial anomalies.,Malformed tear ducts
Peripheral visual field loss,7994,"Loss of peripheral vision with retention of central vision, resulting in a constricted circular tunnel-like field of vision.","Kalnienk vision, Loss of peripheral vision"
Decreased corneal reflex,8000,"An abnormally reduced response to stimulation of the cornea (by touch, foreign body, blowing air). The corneal reflex (also known as the blink reflex, normally results in an involuntary blinking of the eyelids.","Decreased blink reflex, Reduced corneal reflex"
Foveal hyperpigmentation,8001,Increased amount of pigmentation in the fovea centralis.,
Abnormality of macular pigmentation,8002,Abnormality of macular or foveal pigmentation.,
Jerky ocular pursuit movements,8003,,Jerky smooth pursuit
Primary congenital glaucoma,8007,,
Three rows of eyelashes,8009,,"Three rows of eyelashes, Triple row of eyelashes"
Peripheral opacification of the cornea,8011,Reduced transparency of the peripheral region of the cornea.,Peripheral corneal opacity
Central fundal arteriolar microaneurysms,8014,"Microscopic aneurysms of the retinal arterioles near the central part of the fundus, visible as small round dark red dots on the retinal surface (not arising from visible vessels) that are by definition less than the diameter of the major optic veins as they cross the optic disc.",
Superior lens subluxation,8019,Partial dislocation of the lens in a superior direction.,Superior subluxated lens
Cone dystrophy,8020,Inherited progressive cone degeneration.,"Progressive cone degeneration, Progressive cone dystrophy"
Horizontal opticokinetic nystagmus,8026,,
Cystoid macular degeneration,8028,A form of macular degeneration characterized by the presence of multiple cysts in the macula.,Cystic macular degeneration
Retinal arteritis,8030,,
Posterior Y-sutural cataract,8031,A type of sutural cataract in which the opacity follows the posterior Y suture.,Posterior Y-sutural cataracts
Abnormal iris pigmentation,8034,Abnormal pigmentation of the iris.,
Retinitis pigmentosa inversa,8035,"Retinitis pigmentosa inversa is form of retinal degeneration characterized by areas of retinal/chorioretinal degeneration with pigment migration in the macular area (in contrast to retinitis pigmentosa which, at early disease stages, predominantly affects the retinal periphery).",Central retinitis pigmentosa
Absent anterior chamber of the eye,8037,Absence of the anterior chamber of the eye owing to a developmental defect.,
Aplastic/hypoplastic lacrimal glands,8038,Absence or underdevelopment of the lacrimal gland.,"Absent/underdeveloped lacrimal glands, Absent/underdeveloped tear glands"
Subepithelial corneal opacities,8039,,
Late onset congenital glaucoma,8041,,
Retinal arteriolar constriction,8043,"Decreased retinal arteriolar diameters, which may decrease blood flow and slow oxygen delivery to regions of the retina.","Constricted retinal arterioles, Narrow retinal arterioles, Retinal arteriolar narrowing"
Enlarged flash visual evoked potentials,8045,,High flash visual evoked potentials
Abnormal retinal vascular morphology,8046,A structural abnormality of retinal vasculature.,"Abnormality of retina blood vessels, Abnormality of the retinal vasculature"
Abnormality of the vasculature of the eye,8047,,Abnormality of eye blood vessels
Abnormal line of Schwalbe morphology,8048,An abnormality of the line of Schwalbe.,Abnormality of the line of Schwalbe
Abnormality of the extraocular muscles,8049,An abnormality of an extraocular muscle.,
Abnormality of the palpebral fissures,8050,An anomaly of the space between the medial and lateral canthi of the two open eyelids.,"Abnormality of the opening between the eyelids, Abnormality of the palpebral fissures"
Retinal fold,8052,A wrinkle of retinal tissue projecting outward from the surface of the retina and visible as a line on fundoscopy.,Retinal folds
Aplasia/Hypoplasia of the iris,8053,Absence or underdevelopment of the iris.,"Absent/small iris, Absent/underdeveloped iris"
Abnormal morphology of the conjunctival vasculature,8054,Any abnormality of the blood vessels of the conjunctiva.,"Abnormal morphology of the conjunctiva vasculature, Abnormal vasculature of the conjunctiva morphology, Abnormality of the vasculature of the conjunctiva"
Aplasia/Hypoplasia affecting the uvea,8055,"Absence or underdevelopment of the uvea, the pigmented middle layer of the eye consisting of the iris and ciliary body together with the choroid.",Absent/underdeveloped uvea
Aplasia/Hypoplasia affecting the eye,8056,,"Absent/small eye, Absent/underdeveloped eye"
Aplasia/Hypoplasia affecting the fundus,8057,,Absent/small fundus
Aplasia/Hypoplasia of the optic nerve,8058,,"Absent/small optic nerve, Absent/underdeveloped optic nerve"
Aplasia/Hypoplasia of the macula,8059,,Absent/underdeveloped macula
Aplasia/Hypoplasia of the fovea,8060,Congenital absence or underdevelopment of the fovea centralis.,Absent/underdeveloped fovea
Aplasia/Hypoplasia of the retina,8061,,"Absent/small retina, Absent/underdeveloped retina"
Aplasia/Hypoplasia affecting the anterior segment of the eye,8062,Absence or underdevelopment of the anterior segment of the eye.,
Aplasia/Hypoplasia of the lens,8063,Absence or underdevelopment of the lens.,"Absent/small lens, Absent/underdeveloped lens"
Ichthyosis,8064,An abnormality of the skin characterized the presence of excessive amounts of dry surface scales on the skin resulting from an abnormality of keratinization.,"Ichthyosiform abnormality of the skin, Ichthyotic skin"
Aplasia/Hypoplasia of the skin,8065,,"Absent/small skin, Absent/underdeveloped skin"
Abnormal blistering of the skin,8066,"The presence of one or more bullae on the skin, defined as fluid-filled blisters more than 5 mm in diameter with thin walls.","Abnormal blistering of the skin, Blister, Blistering, generalised, Blistering, generalized, Blisters, Skin bullae"
Abnormally lax or hyperextensible skin,8067,,"Abnormally loose or hyperelastic skin, Abnormally loose or stretchable skin"
Neoplasm of the skin,8069,A tumor (abnormal growth of tissue) of the skin.,"Dermatological tumors, Dermatological tumours, Skin tumors, Skin tumours, Tumor of the skin, Tumour of the skin"
Sparse hair,8070,Reduced density of hairs.,"Decreased hair growth, Decreased hair growth on body, Hypotrichosis, Marked hypotrichosis, Sparse hair, Sparse hair since birth"
Maternal hypertension,8071,Increased blood pressure during a pregnancy.,
Maternal virilization in pregnancy,8072,"Virilization (deepening of voice, facial hirsutism and scalp hair loss) with onset during pregnancy (usually towards the end of the first trimester) and regression several months post-partum.",
Low maternal circulating estriol concentration,8073,An abnormally low concentration of serum conjugated estriol as compared to normal values for gestational-age.,Low maternal serum estriol
Metatarsal periosteal thickening,8074,,
Progressive pes cavus,8075,The development of Pes cavus that is progressive with age.,
Osteoporotic tarsals,8076,"Reduction in bone mineral density affecting any or all of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",
Thin metatarsal cortices,8078,,
Absent fifth metatarsal,8079,A developmental abnormality characterized by the absence of the fifth metatarsal bone.,"Absent 5th long bone of foot, Absent 5th metatarsals, Aplasia of the fifth metatarsal bone"
Hallux varus,8080,Medial deviation of the great toe owing to a deformity of the great toe joint causing the hallux to deviate medially.,Medially deviated halluces
Pes valgus,8081,An outward deviation of the foot at the talocalcaneal or subtalar joint.,Valgus foot deformity
Medial deviation of the foot,8082,,
2nd-5th toe middle phalangeal hypoplasia,8083,,Underdeveloped 2nd-5th middle toe bones
Nonossified fifth metatarsal,8087,The presence of a fifth metatarsal bone that has not undergone ossification at an age when ossification is usually visible.,
Abnormality of the fifth metatarsal bone,8089,An anomaly of the fifth metatarsal bone.,Abnormality of the 5th long bone of foot
Ankylosis of feet small joints,8090,,
Short 4th toe,8093,Underdevelopment (hypoplasia) of the fourth toe.,"Short 4th toe, Short fourth toe"
Widely spaced toes,8094,An overall widening of the spaces between the digits.,Widely spaced toes
Osteolysis of talus,8095,Osteolysis affecting the talus.,Osteolysis of tali
Medially deviated second toe,8096,Medial deviation of the second toe.,
Partial fusion of tarsals,8097,,
Expanded metatarsals with widened medullary cavities,8102,,
Delayed tarsal ossification,8103,"Delayed maturation and calcification of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",Tarsal delayed ossification
Plantar crease between first and second toes,8107,The presence of unusually deep creases (ridges/wrinkles) on the skin of sole of foot located between the first and second toe.,
Advanced tarsal ossification,8108,"Precocious (accelerated) maturation and calcification of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.",Precociously ossified tarsal bones
Equinovarus deformity,8110,,
Broad distal hallux,8111,,Broad distal big toe
Plantar flexion contractures,8112,,
Multiple plantar creases,8113,,
Metatarsal diaphyseal endosteal sclerosis,8114,Osteosclerosis of the endosteal surface of the diaphyses (shafts) of the metatarsal bones.,
Clinodactyly of the 3rd toe,8115,"Bending or curvature of a third toe in the tibial direction (i.e., towards the big toe).",3rd toe clinodactyly
Flexion limitation of toes,8116,Limitation of the ability to bend the toes.,
Shortening of the talar neck,8117,,
Deformed tarsal bones,8119,,Deformed ankle bones
Calcaneonavicular fusion,8122,Synostosis of the calcaneus with the navicular bone.,
Talipes calcaneovarus,8124,"A congenital deformity characterized by a dorsiflexed, inverted, and adducted foot, i.e., a combination of talipes calcaneus and talipes varus.",
Second metatarsal posteriorly placed,8125,,
Bipartite calcaneus,8127,"A two-part calcaneus, a finding that probably results from delayed coalescence of two primary calcaneal centers of ossification.","Delayed coalescence of bipartite calcanei, Delayed coalescence of calcaneal ossification centers, Delayed coalescence of calcaneal ossification centres, Delayed fusion of bipartite calcanei, Double calcaneal ossification center, Double calcaneal ossification centre, Extra calcaneal ossification center, Extra calcaneal ossification centre"
Tarsal stippling,8131,"The presence of abnormal punctate (speckled, dot-like) calcifications in one or more tarsal bones.","Punctate calcifications of tarsals, Punctate tarsal calcification"
Medial rotation of the medial malleolus,8132,,
Distal tapering of metatarsals,8133,,
Irregular tarsal ossification,8134,"Defective ossification in an irregular pattern of the seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.","Irregular tarsal centers, Irregular tarsal centres"
Equinus calcaneus,8138,Abnormal plantar flexion of the calcaneus relative to the longitudinal axis of the tibia. This results in the angle between the long axis of the tibia and the long axis of the heel bone (calcaneus) being greater than 90 degrees.,"Equinus deformity of the calcaneus, Hindfoot equinus"
Dislocation of toes,8141,,Dislocation of toes
Delayed calcaneal ossification,8142,Delayed maturation and calcification of the calcaneus.,
Flattening of the talar dome,8144,,
Impaired epinephrine-induced platelet aggregation,8148,Abnormal response to epinephrine as manifested by reduced or lacking aggregation of platelets upon addition of epinephrine.,
Elevated serum transaminases during infections,8150,Elevations of the levels of SGOT (serum glutamic oxaloacetic transaminase) and SGPT (serum glutamic pyruvic transaminase) that occur during infections.,
Prolonged prothrombin time,8151,"Increased time to coagulation in the prothrombin time test, which is a measure of the extrinsic pathway of coagulation. The results of the prothrombin time test are often expressed in terms of the International normalized ratio (INR), which is calculated as a ratio of the patient's prothrombin time (PT) to a control PT standardized for the potency of the thromboplastin reagent developed by the World Health Organization (WHO) using the formula: INR is equal to Patient PT divided by Control PT.","Increased INR, Increased international normalised ratio, increased international normalised ratio, Increased international normalized ratio, Low factor II activity, Prolonged PT, Reduced factor II activity, Reduced prothrombin activity"
Periodic hypokalemic paresis,8153,Episodes of muscle weakness associated with reduced levels of potassium in the blood.,Hypokalemic periodic paresis
Mucopolysacchariduria,8155,Excessive amounts of mucopolysaccharide in the urine.,
Hyperapobetalipoproteinemia,8158,Hyperapobetalipoproteinemia is defined as the combination of a normal low density lipoprotein (LDL) cholesterol in the face of an increased LDL apolipoprotein B (apoB) protein.,
3-hydroxydicarboxylic aciduria,8160,An increase in the level of 3-hydroxydicarboxylic acid in the urine.,
Absent leukocyte alkaline phosphatase,8161,Alkaline phosphatase levels measured within leukocytes is below detectable levels.,Absent leukocyte ALP
Asymptomatic hyperammonemia,8162,An increased concentration of ammonia in the blood not associated with symptoms such as encephalopathy.,"Hyperammonemia, asymptomatic"
Decreased circulating cortisol level,8163,Abnormally reduced concentration of cortisol in the blood.,"Decreased cortisol production, Glucocorticoid insufficiency, Hypocortisolemia, Low blood cortisol level, Low to undetectable plasma cortisol, Plasma cortisol low"
Decreased helper T cell proportion,8165,Reduced proportion of helper T cells relative to the total number of T cells.,"Decreased proportion circulating T-helper cells, Reduced helper T cell proportion"
Decreased beta-galactosidase activity,8166,"Abnormally decreased rate of beta-galactosidase activity. Beta-galactosidase activity can be measured in leukocyte, fibroblast, or plasma.","Beta-galactosidase deficiency in fibroblasts and white blood cells, Beta-galactosidase-1 deficiency, Decreased beta galactosidase activity"
Very long chain fatty acid accumulation,8167,,
Reduced factor VII activity,8169,"Reduced activity of coagulation factor VII. Factor VII is part of the extrinsic coagulation pathway, which is initiated at the site of injury in response to the release of tissue factor (fIII). Tissue factor and activated factor VII catalyze the activation of factor X.",
Neonatal unconjugated hyperbilirubinemia,8176,,
Abnormal cartilage matrix,8178,,
Decreased Arden ratio of electrooculogram,8179,"An abnormal reduction in the Arden ratio, which is the ratio between the light peak and the dark trough of the smoothed (physiologic) EOG record.",Decreased Arden ratio of EOG
Mildly elevated creatine kinase,8180,,"Mildly elevated CPK, Mildly elevated creatine phosphokinase, Mildly elevated serum CK, Mildly elevated serum CPK, Mildly elevated serum phospho-CK, Mildly increased creatine kinase, Mildly increased serum creatine kinase, Moderately elevated serum CK, Moderately elevated serum CPK, Moderately increased serum creatine kinase"
Abetalipoproteinemia,8181,An absence of low-density lipoprotein cholesterol in the blood.,
Adrenocortical hypoplasia,8182,,Small adrenal cortex
Precocious puberty in males,8185,The onset of puberty before the age of 9 years in boys.,"Early onset of puberty in males, Male precocious puberty"
Adrenocortical cytomegaly,8186,The presence of large polyhedral cells with eosinophilic granular cytoplasm and enlarged nuclei in the adrenal cortex.,
Absence of secondary sex characteristics,8187,No secondary sexual characteristics are present at puberty.,No secondary sexual characteristics at puberty
Thyroid dysgenesis,8188,,Thyroid dysplasia
Insulin insensitivity,8189,Decreased sensitivity toward insulin.,
Thyroid agenesis,8191,The congenital absence of the thyroid gland.,
Primary gonadal insufficiency,8193,,
Multiple pancreatic beta-cell adenomas,8194,The presence of multiple pancreatic islet cell adenomas.,
Absence of pubertal development,8197,,
Congenital hypoparathyroidism,8198,Deficiency of parathyroid hormone with congenital onset.,Neonatal hypoparathyroidism
Primary hyperparathyroidism,8200,"A type of hyperparathyroidism caused by a primary abnormality of the parathyroid glands (e.g., adenoma, carcinoma, hyperplasia). Primary hyperparathyroidism is associated with hyercalcemia.",
Reduced circulating prolactin concentration,8202,A reduced level of prolactin in the blood circulation. Prolactin is a protein hormone that is secreted by lactotrophs in the anterior pituitary and that stimulates mammary gland development and milk production.,Prolactin deficiency
Precocious puberty with Sertoli cell tumor,8204,,Precocious puberty with Sertoli cell tumour
Insulin-dependent but ketosis-resistant diabetes,8205,Ketosis-resistant diabetes is a synonym for type II diabetes. This term thus refers to a form of type II diabetes in which patients are dependent on insulin.,
Primary adrenal insufficiency,8207,Insufficient production of steroid hormones (primarily cortisol) by the adrenal glands as a result of a primary defect in the glands themselves.,"Adrenocortical insufficiency, Primary adrenocortical failure"
Parathyroid hyperplasia,8208,Hyperplasia of the parathyroid gland.,Enlarged parathyroid glands
Premature ovarian insufficiency,8209,Amenorrhea due to loss of ovarian function before the age of 40. Primary ovarian inssuficiency (POI) is a state of female hypergonadotropic hypogonadism. It can manifest as primary amenorrhea with onset before menarche or secondary amenorrhea.,"Climacterium praecox, Early menopause, Hypergonadotropic amenorrhea, Menopause praecox, Premature menopause, Premature ovarian failure, Primary ovarian insufficiency"
Parathyroid agenesis,8211,Aplasia of the parathyroid gland.,"Parathyroid absence, Parathyroid aplasia"
Gonadotropin deficiency,8213,"A reduced ability to secrete gonadotropins, which are protein hormones secreted by gonadotrope cells of the anterior pituitary gland, including the hormones follitropin (FSH) and luteinizing hormone (LH).",Pituitary gonadotropin deficiency
Decreased serum estradiol,8214,A reduction below normal concentration of estradiol in the circulation.,Decreased serum estradiol
Adrenal gland dysgenesis,8216,Abnormal development of the adrenal gland.,"Adrenal gland dysplasia, Dysplastic adrenal glands"
Adrenal hyperplasia,8221,Enlargement of the adrenal gland.,Enlarged adrenal glands
Female infertility,8222,,Female infertility
Compensated hypothyroidism,8223,Condition associated with a raised serum concentration of thyroid stimulating hormone (TSH) but a normal serum free thyroxine (FT4).,"Mild hypothyroidism, Subclinical hypothyroidism"
Thyroid follicular hyperplasia,8225,,
Androgen insufficiency,8226,Insufficient amount of androgenic activity.,Hypoandrogenism
Pituitary resistance to thyroid hormone,8227,"A condition in which the pituitary gland is partially resistant to thyroid hormone, so that it continues to secrete thyroid-stimulating hormone (TSH) until the blood level of thyroid hormone rises higher than normal.",
Thyroid lymphangiectasia,8229,The presence of lymphangiectasis of the thyroid gland.,Thyroid lymphangiectasis
Macronodular adrenal hyperplasia,8231,,
Elevated circulating follicle stimulating hormone level,8232,An elevated concentration of follicle-stimulating hormone in the blood.,"Elevated follicle stimulating hormone, Elevated follicle-stimulating hormone, Elevated FSH level, Elevated plasma follicle stimulating hormone, Increased circulating follicle stimulating hormone level"
Decreased circulating progesterone,8233,An reduced concentration of progesterone in the blood.,Decreased serum progesterone
Isosexual precocious puberty,8236,,
Hypothalamic hypothyroidism,8237,A type of hypothyroidism that results from a defect in thyrotropin-releasing hormone activity.,Tertiary hypothyroidism
Adrenal medullary hypoplasia,8239,Developmental hypoplasia of the adrenal medulla.,Small adrenal medulla
Secondary growth hormone deficiency,8240,,
Pseudohypoaldosteronism,8242,A state of renal tubular unresponsiveness or resistance to the action of aldosterone.,
Congenital adrenal hypoplasia,8244,A type of adrenal hypoplasia with congenital onset.,Congenital adrenal gland hypoplasia
Pituitary hypothyroidism,8245,A type of hypothyroidism that results from a defect in thyroid-stimulating hormone secretion.,"Low thyroid gland function due to abnormal pituitary gland, Secondary hypothyroidism, Thyroid stimulating hormone deficiency, Thyrotropin deficiency, TSH deficient hypothyroidism"
Euthyroid hyperthyroxinemia,8247,Increased levels of thyroxine without evidence of clinical thyroid disease.,Asymptomatic hyperthyroxinemia
Thyroid hyperplasia,8249,Hyperplasia of the thyroid gland.,Large thyroid
Infantile hypercalcemia,8250,,
