,Definition,ClassificationLevel
1375,non-involuting congenital hemangiomas (nich) are a distinctive type of large congenital hemangioma that are fully formed <i>in utero</i> and differ from rapidly involuting congenital hemangiomas (rich; see this term) mainly because they do not undergo a postnatal involuting phase.,Disorder
1376,"nasal encephalocele is an extracranial herniation of intracranial contents (that maintain a connection to the subarachnoid space) into the fonticulus frontalis, presenting with nasal broadening and/or as a compressible, blue, pulsatile mass near the nasal bridge (that enlarges on crying or with jugular vein compression) or as an intranasal mass originating in the cribiform plate and that can cause nasal obstruction or respiratory distress. hydrocephalus and increased intracranial pressure are also reported in some cases.",Subtype of disorder
1377,"nasal encephalocele is an extracranial herniation of intracranial contents (that maintain a connection to the subarachnoid space) into the fonticulus frontalis, presenting with nasal broadening and/or as a compressible, blue, pulsatile mass near the nasal bridge (that enlarges on crying or with jugular vein compression) or as an intranasal mass originating in the cribiform plate and that can cause nasal obstruction or respiratory distress. hydrocephalus and increased intracranial pressure are also reported in some cases.",Disorder
1382,"a rare congenital malformation syndrome, most commonly presenting with hemifacial microsomia associated with ear and/or eye malformations and vertebral anomalies of variable severity. additional malformations involving the heart, kidneys, central nervous, digestive and skeletal systems may also be associated.",Disorder
1383,"a rare congenital malformation syndrome, most commonly presenting with hemifacial microsomia associated with ear and/or eye malformations and vertebral anomalies of variable severity. additional malformations involving the heart, kidneys, central nervous, digestive and skeletal systems may also be associated.",Disorder
1394,"cerebro-costo-mandibular syndrome (ccms) is characterized at birth by posterior rib gaps and orofacial anomalies reminiscent of pierre robin syndrome (see this term) that include palatal defects (short hard palate, absent soft palate, absent uvula), micrognathia and glossoptosis.",Disorder
1412,"a rare lethal combination of manifestations including short stature, congenital cataracts, encephalopathy with epileptic fits, and postmortem confirmation of nephropathy (renal tubular necrosis). there have been no further descriptions in the literature since 1963.",Disorder
1413,"a rare lethal combination of manifestations including short stature, congenital cataracts, encephalopathy with epileptic fits, and postmortem confirmation of nephropathy (renal tubular necrosis). there have been no further descriptions in the literature since 1963.",Subtype of disorder
1414,"a rare lethal combination of manifestations including short stature, congenital cataracts, encephalopathy with epileptic fits, and postmortem confirmation of nephropathy (renal tubular necrosis). there have been no further descriptions in the literature since 1963.",Disorder
1420,"camptodactyly syndrome, guadalajara type 1 is a rare syndrome consisting of growth retardation, facial dysmorphism, camptodactyly and skeletal anomalies.",Disorder
1427,"symmetrical thalamic calcifications are clinically distinguished by a low apgar score, spasticity or marked hypotonia, weak or absent cry, poor feeding, and facial diplegia or weakness.",Disorder
1428,"symmetrical thalamic calcifications are clinically distinguished by a low apgar score, spasticity or marked hypotonia, weak or absent cry, poor feeding, and facial diplegia or weakness.",Group of disorders
1429,"symmetrical thalamic calcifications are clinically distinguished by a low apgar score, spasticity or marked hypotonia, weak or absent cry, poor feeding, and facial diplegia or weakness.",Disorder
1430,"symmetrical thalamic calcifications are clinically distinguished by a low apgar score, spasticity or marked hypotonia, weak or absent cry, poor feeding, and facial diplegia or weakness.",Group of disorders
1456,caudal duplication (cd) is a rare developmental anomaly in which structures derived from the embryonic cloaca and notochord are duplicated to varying extents.,Disorder
1457,caudal duplication (cd) is a rare developmental anomaly in which structures derived from the embryonic cloaca and notochord are duplicated to varying extents.,Disorder
1462,"45,x/46,xy mixed gonadal dysgenesis (45,x/46,xy mgd) is a disorder of sex development (dsd) associated with a numerical sex chromosome abnormality resulting from y-chromosome mosaicism and leading to abnormal gonadal development.",Disorder
1472,"a rare, nonprogressive, neurological disorder marked by intellectual deficit, spasticity and motor retardation associated with characteristic mri findings of anterior bilateral temporal lobe cysts and multilobar leukoencephalopathy. so far, around 30 cases have been reported in the literature. onset occurs in the first few months of life. sensorineural deafness and microcephaly have also been reported. the etiology is unknown but an autosomal recessive mode of inheritance has been suggested.",Disorder
1486,"2q24 microdeletion syndrome is a chromosomal anomaly consisting of a partial long arm deletion of chromosome 2 and characterized clinically by a wide range of manifestations (depending on the specific region deleted) which can include seizures, microcephaly, dysmorphic features, cleft palate, eye abnormalities (coloboma, cataract and microphthalmia), growth retardation, failure to thrive, heart defects, limb anomalies, developmental delay and autism.",Disorder
1522,"a form of limb-girdle muscular dystrophy that usually has a childhood onset (but can range from the first to third decade of life) of severe progressive proximal weakness, eventually involving the distal muscles. some patients may remain ambulatory but most are wheelchair dependant 20 years after onset.",Disorder
1529,"a rare pulmonary disease induced by sars-cov coronavirus infection, with a reported incubation period varying from 2 to 7 days. patients present flu-like symptoms, including fever, malaise, myalgia, headache, diarrhoea, and rigors. dry, nonproductive, cough and dyspnea are frequently reported. severe cases evolve rapidly, progressing to respiratory distress and failure, requiring intensive care. mortality rate is 10%. the disease appeared in 2002 in southern china, subsequently spreading in 2003 to 26 countries. reported human-to-human transmission occurred in toronto (canada), hong kong special administrative region of china, chinese taipei, singapore, and hanoi (viet nam).",Disorder
1530,"lopez-hernandez syndrome, which may be classified among the neurocutaneous syndromes, associates abnormalities of the cerebellum (rhombencephalosynapsis), cranial nerves (trigeminal anesthesia), and scalp (alopecia). it has been reported in 11 individuals so far. other features observed in patients were craniosynostosis, midfacial hypoplasia, bilateral corneal opacities, low-set ears, short stature, moderate intellectual impairment and ataxia. hyperactivity, depression, self-injurious behaviour and bipolar disorder have also been reported.",Disorder
1538,"benign familial neonatal-infantile seizures (bfnis) is a benign familial epilepsy syndrome with an intermediate phenotype between benign familial neonatal seizures (bfns) and benign familial infantile seizures (bfis; see these terms). so far, this syndrome has been described in multiple members of 10 families. age of onset in these bfnis families varied from 2 days to 6 months, with spontaneous resolution in most cases before the age of 12 months. like bfns and bfis, seizures in bfnis generally occur in clusters over one or a few days with posterior focal seizure onset. bfnis is caused by mutations in the <i>scn2a</i> gene (2q24.3), encoding the voltage-gated sodium channel alpha-subunit na(v)1.2. transmission is autosomal dominant.",Disorder
1545,"a rare autosomal recessive, isolated diffuse palmoplantar keratoderma charactized by transgressive and nonprogressive palmoplantar keratoderma resembling a mild form of mal de meleda.",Disorder
1549,"cervical dermoid cyst is a rare, benign cutaneous neoplasm containing keratinized epithelium and dermal derivatives, such as hair follicles, sweat and sebaceous glands, smooth muscle or fibroadipose tissue which usually manifests as a slow-growing, painless mass in the submandibular or sublingual space. depending on the location, and especially after sudden enlargement, it can cause dyspnea, dysphagia or dysphonia.",Disorder
1570,small patella syndrome (sps) is a very rare benign bone dysplasia affecting skeletal structures of the lower limb and the pelvis.,Disorder
1571,small patella syndrome (sps) is a very rare benign bone dysplasia affecting skeletal structures of the lower limb and the pelvis.,Group of disorders
1579,"craniodiaphyseal dysplasia is a rare sclerotic bone disorder with a variable phenotypic expression with massive generalized hyperostosis and sclerosis, particularly of the skull and facial bones, that may lead to severe deformity.",Disorder
1595,an extremely rare polymalformative syndrome.,Disorder
1596,"a very rare syndrome including short stature, facial dysmorphism, hand abnormalities and shawl scrotum.",Disorder
1611,"a teratologic disorder associated with intrauterine exposure of phenobarbital during the first trimester of pregnancy. infants are usually asymptomatic but an increased risk of intellectual disability, tetralogy of fallot, unilateral cleft lip, hypoplasia of the mitral valve and some other mild abnormalities such as hypertelorism, epicanthus, hypoplasia and low insertion of the nose, low insertion of the ears, prognathism, &#64257;nger hypoplasia, brachydactyly and hypospadias have been reported in rare cases.",Disorder
1613,"a teratogenic embryofetopathy that results from maternal exposition to methimazole (mmi; or the parent compound carbimazole) in the first trimester of pregnancy. mmi is an antithyroid thionamide drug used for the treatment of graves' disease. in the infant, mmi may result in choanal atresia, esophageal atresia, omphalocele, omphalomesenteric duct anomalies, congenital heart disease (such as ventricular septal defect), renal system malformations and aplasia cutis. additional features that may be observed include facial dysmorphism (short upslanting palpebral fissures, a broad nasal bridge with a small nose and a broad forehead) and athelia/hypothelia.",Disorder
1616,"cocaine embryofetopathy is a group of clinical signs observed in newborns exposed <i>in utero</i> to cocaine, a short-acting central nervous system stimulant used as a recreational drug through inhalation of the powder or intravenous injection. cocaine use during pregnancy is associated with intrauterine growth restriction, low birth weight, seizures, respiratory distress (decreased apnea density and periodic breathing), feeding difficulties, irritability and lability of state, decreased behavioral and autonomic regulation, poor alertness and orientation and cognitive impairment (impaired auditory information processing , visual-spatial delay and subtle language delay) in the offspring.",Disorder
1617,"fetal iodine syndrome refers to symptoms and signs that may be observed in a fetus or newborn when the mother was exposed during pregnancy to inappropriate (insufficient or excessive) amounts of iodine. iodine deficiency is associated with goiter and hypothyroidism. when severe iodine deficiency occurs during pregnancy, it is associated with congenital hypothyroidism that is manifested by increased neonatal morbi-mortality and severe mental dysfunction, hyperactivity, attention disorders and a substantial decrease of iq of an irreversible nature. excessive iodine ingestion during the third trimester of pregnancy can result in hypothyroidism and fetal goiter due to a prolonged inhibition of thyroid hormone synthesis, an increase in thyrotropin (tsh).",Disorder
1619,"a fetopathy that is likely to occur when a cytomegalovirus (cmv) infected pregnant woman transmits the virus <i>in utero</i>. children born with congenital cmv infection may present with hepatomegaly, splenomegaly, jaundice, pneumonitis, fetal growth retardation, petechiae, purpura, and thrombocytopenia. congenital cmv infection can equally result in major neurological sequelae, including microcephaly, intracranial calcifications, sensorineural hearing loss, chorioretinitis, intellectual and motor disabilities, and seizure disorders. cmv disease sequelae caused by a primary infection are usually more severe than those caused by the reactivation of a latent infection.",Disorder
1625,"indomethacin embryofetopathy refers to the manifestations that may be observed in a fetus or newborn when the mother has taken indomethacin, a potent prostaglandin inhibitor and tocolytic agent that can cross placenta, during pregnancy. reported adverse fetal/neonatal effects include decreased renal function resulting in oligohydramnios, closure of the ductus arteriosus, and delayed cardiovascular adaptation at birth. these effects are usually transient and reversible. indomethacin may also be a risk factor for cerebral injury (periventricular leukomalacia) and necrotizing enterocolitisin preterm infants.",Disorder
1633,"focal facial dermal dysplasia type iii (ffdd3) is a rare focal facial dermal dysplasia (ffdd; see this term), characterized primarily by congenital bitemporal scar-like depressions and a typical, but variable facial dysmorphism, which may include distichiasis (upper lids) or lacking eyelashes, slanted eyebrows and a flattened and/or bulbous nasal tip and other features such as a low frontal hairline, sparse hair, redundant skin, epicanthal folds, low-set dysplastic ears, blepharitis and conjunctivitis.",Subtype of disorder
1634,"ectodermal dysplasia, trichoodontoonychial type is a form of ectodermal dysplasia with hair, teeth and nail involvement characterized predominantly by hypodontia, hypotrichosis, delayed hair growth and brittle nails. additionally, focal dermal hypoplasia, irregular hyperpigmentation, hypoplastic or absent nipples, amastia, hearing impairment, congenital hip dislocation and asthma have been associated. there have been no further descriptions in the literature since 1996.",Disorder
1647,spondylometaphyseal dysplasias are a heterogeneous group of disorders associated with walking and growth disturbances that become evident during the second year of life.,Group of disorders
1648,spondylometaphyseal dysplasias are a heterogeneous group of disorders associated with walking and growth disturbances that become evident during the second year of life.,Disorder
1650,"a rare lethal bone dysplasia characterized at birth by low birth weight, a rhizomelic dwarfism, bent femora and short chest producing asphyxia. the initial cases could have been diagnosed as desbuquois syndrome, or a recessive larsen syndrome. there has been no further description in the literature since 1988.",Disorder
1670,"a rare primary bone dysplasia characterized, radiologically, by short, stubby long bones, severely angulated femurs and lesser bowing of other long bones (mild, moderate or no bowing), short and wide iliac wings with horizontal acetabular roofs, platyspondyly and a narrow thorax, clinically manifesting with severe, disproportionate short stature. regression of femora angulation is observed with advancing age.",Disorder
1671,stanescu type dysostosis is a rare form of osteosclerosis.,Disorder
1685,"hallermann-streiff syndrome is a rare genetic syndrome characterized mainly by head and facial abnormalities such as bird-like facies (with beak-shaped nose and retrognathia), hypoplastic mandible, brachycephaly with frontal bossing, dental abnormalities (e.g. absence of teeth, natal teeth, supernumerary teeth, severe agenesis of permanent teeth, enamel hypoplasia) hypotrichosis, various ophthalmic disorders (e.g. congenital cataracts, bilateral microphthalmia, ptosis, nystagmus) and atrophy of skin (especially around the center of face and nose) as well as telangiectasia and proportionate short stature. intellectual disability is reported in some cases.",Disorder
1687,"hall-riggs syndrome is a very rare syndrome consisting of microcephaly with facial dysmorphism, spondylometaepiphyseal dysplasia and severe intellectual deficit.",Disorder
1702,"gms syndrome describes an extremely rare syndrome involving goniodysgenesis, intellectual disability and short stature in addition to microcephaly, short nose, small hands and ears, and that has been seen in one family to date. there have been no further descriptions in the literature since 1992.",Disorder
1720,"grant syndrome is a rare osteogenesis imperfecta-like disorder, described in two patients to date, characterized clinically by persistent wormian bones, blue sclera, mandibular hypoplasia, shallow glenoid fossa, and campomelia. there have been no further descriptions in the literature since 1986.",Disorder
1773,"hereditary gingival fibromatosis (hgf) is a rare benign, slowly progressive, non-inflammatory fibrous hyperplasia of the maxillary and mandibular gingivae that generally occurs with the eruption of the permanent (or more rarely the primary) dentition or even at birth. it presents as a localized or generalized, smooth or nodular overgrowth of the gingival tissues of varying severity. it can be isolated, with autosomal dominant inheritance, or as part of a syndrome.",Disorder
1774,"endomyocardial fibroelastosis is a cause of unexplained childhood cardiac insufficiency. it results from diffuse thickening of the endocardium leading to dilated myocardiopathy in the majority of cases and restrictive myocardiopathy in rare cases. it may occur as a primary disorder or may be secondary to another cardiac malformation, notably aortic stenosis or atresia.",Disorder
1783,midline cleft of lower lip is a rare anomaly defined as cleft no. 30 in tessier's classification.,Disorder
1784,midline cleft of lower lip is a rare anomaly defined as cleft no. 30 in tessier's classification.,Subtype of disorder
1804,congenital short femur is a rare malformation of variable severity ranging from mild hypoplasia to complete absence of the femur.,Disorder
1813,"mayer-rokitansky-küster-hauser (mrkh) syndrome type 1, a form of mrkh syndrome (see this term), is an isolated form of congenital aplasia of the uterus and 2/3 of the vagina occurring in otherwise phenotypically normal females.",Subtype of disorder
1820,"juvenile cataract - microcornea - renal glucosuria is an extremely rare autosomal dominant association reported in a single swiss family and characterized clinically by juvenile cataract associated with bilateral microcornea, and renal glucosuria without other renal tubular defects.",Disorder
1821,"juvenile cataract - microcornea - renal glucosuria is an extremely rare autosomal dominant association reported in a single swiss family and characterized clinically by juvenile cataract associated with bilateral microcornea, and renal glucosuria without other renal tubular defects.",Disorder
1822,"juvenile cataract - microcornea - renal glucosuria is an extremely rare autosomal dominant association reported in a single swiss family and characterized clinically by juvenile cataract associated with bilateral microcornea, and renal glucosuria without other renal tubular defects.",Subtype of disorder
1824,"a rare inherited group of small vessel diseases comprised of cerebroretinal vasculopathy (crv), hereditary vascular retinopathy (hrv) and hereditary endotheliopathy with retinopathy, nephropathy and stroke (herns) all exhibiting progressive visual impairment as well as variable cerebral dysfunction.",Disorder
1835,"a severe subtype of citrin deficiency characterized clinically by adult onset (20 and 50 years of age), recurrent episodes of hyperammonemia and associated neuropsychiatric symptoms such as nocturnal delirium, confusion, restlessness, disorientation, drowsiness, memory loss, abnormal behavior (aggression, irritability, and hyperactivity), seizures, and coma.",Disorder
1837,"a mild subtype of citrin deficiency characterized clinically by low birth weight, failure to thrive, transient intrahepatic cholestasis, multiple aminoacidemia, galactosemia, hypoproteinemia, hepatomegaly, decreased coagulation factors, hemolytic anemia, variable but mostly mild liver dysfunction, and hypoglycemia.",Disorder
1856,"primary ciliary dyskinesia - retinitis pigmentosa is an x-linked ciliary dysfunction of both respiratory epithelium and photoreceptors of the retina leading to ocular disorders (mild night blindness, constriction of the visual field, and scotopic and photopic erg responses reduced to 30-60%) associated with primary ciliary dyskinesia (see this term) manifestations (chronic bronchorrhea with bronchoectasis and chronic sinusitis) and sensorineural hearing loss.",Disorder
1857,"citrullinemia type i is a rare autosomal recessive urea cycle defect characterized biologically by hyperammonemia and clinically by progressive lethargy, poor feeding and vomiting in the neonatal form (acute neonatal citrullinemia type i, see this term) and by variable hyperammonemia in the later-onset form (adult-onset citrullinemia type i, see this term).",Disorder
1858,"a severe form of citrullinemia type 1 characterized biologically by hyperammonemia and clinically by progressive lethargy, poor feeding and vomiting, seizures and possible loss of consciousness, within one to a few days of birth, with variable signs of increased intracranial pressure. the condition can lead to significant neurologic deficits.",Subtype of disorder
1860,"a form of citrullinemia type i characterized clinically by adult onset of symptoms including variable hyperammonemia and less striking neurological findings which may include intense headache, scotomas, migraine-like episodes, ataxia, slurred speech, lethargy and drowsiness. serious increased intracranial pressure may occur.",Subtype of disorder
1876,"chorea-acanthocytosis (chac) is a form of neuroacanthocytosis (see this term) and is characterized clinically by a huntington disease-like phenotype with progressive neurological symptoms including movement disorders, psychiatric manifestations and cognitive disturbances.",Disorder
1912,dimethylglycine dehydrogenase deficiency is an extremely rare autosomal recessive glycine metabolism disorder characterized clinically in the single reported case to date by muscle fatigue and a fish-like odor.,Disorder
1913,dimethylglycine dehydrogenase deficiency is an extremely rare autosomal recessive glycine metabolism disorder characterized clinically in the single reported case to date by muscle fatigue and a fish-like odor.,Subtype of disorder
1931,"collecting duct carcinoma is a rare, aggressive subtype of renal cell carcinoma, which originates from the epithelium of the distal collecting ducts, and usually manifests with hematuria, flank pain, palpable abdominal mass or nonspecific symptoms, such as fatigue, weight loss or fever. patients are often asymptomatic for long periods of time and therefore, disease is often locally advanced or metastatic at the time of diagnosis. in cases with metastatic spread, bone pain, cough, dyspnea, pneumonia or neurological compromise may be associated.",Disorder
1932,"melnick-needles syndrome (mns) belongs to the otopalatodigital syndrome spectrum disorder and is associated with a short stature, facial dysmorphism, osseous abnormalities involving the majority of the axial and appendicular skeleton resulting in impaired speech and masticatory problems.",Disorder
1944,"matthew-wood syndrome is a rare clinical entity including as main characteristics anophthalmia or severe microphthalmia, and pulmonary hypoplasia or aplasia.",Disorder
1947,"marinesco-sjögren syndrome (mss) belongs to the group of autosomal recessive cerebellar ataxias. cardinal features of mss are cerebellar ataxia, congenital cataract, and delayed psychomotor development.",Disorder
1954,"ependymoma is the most frequent intramedullary tumor in adults (but accounts for only 10-12% of pediatric central nervous system tumors), and can be benign or anaplastic. ependymoma arise from the ependymal cells of the cerebral ventricles, corticle rests and central canal of the spinal cord, and manifest with variable symptoms such headache, vomiting, seizures, focal neurological signs and loss of vision and can cause obstructive hydrocephalus in some cases.",Disorder
1955,"ependymoma is the most frequent intramedullary tumor in adults (but accounts for only 10-12% of pediatric central nervous system tumors), and can be benign or anaplastic. ependymoma arise from the ependymal cells of the cerebral ventricles, corticle rests and central canal of the spinal cord, and manifest with variable symptoms such headache, vomiting, seizures, focal neurological signs and loss of vision and can cause obstructive hydrocephalus in some cases.",Disorder
1956,"subependymoma is a rare and slow growing type of ependymoma (see this term), often presenting in middle-aged adults, found more commonly in men than in women, usually located in the fourth and lateral ventricles and manifesting with variable symptoms including headache, nausea, and loss of balance. in some cases it can be asymptomatic. it is usually associated with a better prognosis than other forms of ependymoma.",Disorder
1958,"myxopapillary ependymoma (mepn) describes a slow growing ependymoma located almost exclusively in the conus medullaris-cauda equina-filum terminale region of the spinal cord, presenting in all age groups, and manifesting with variable symptoms such as neck pain, vomiting and unsteady gait and metastasis. it has a more aggressive disease course and is seen in the pediatric population.",Disorder
1959,"a rare, malignant type of ependymoma that most often arises in the supratentorial region of the brain of children and young adults and that manifests with variable symptoms including headaches, nausea, vision impairment, memory loss and difficulty walking.",Disorder
1960,"a rare, malignant type of ependymoma that most often arises in the supratentorial region of the brain of children and young adults and that manifests with variable symptoms including headaches, nausea, vision impairment, memory loss and difficulty walking.",Group of disorders
1962,"oligoastrocytoma is a type of low-grade glioma with a mixed astrocytoma and oligodendroglioma histology, manifesting with headaches, speech and motor problems, seizures and, in some, subarachnoid haemorrhage.",Disorder
1963,"a rare multiple congenital anomalies syndrome characterized principally by sprengel anomaly (upward displacement of the scapula) and hydrocephaly. other anomalies such as global developmental delay, psychosis, brachydactyly, and costovertebral dysplasia may also be present.",Disorder
1964,"a rare and aggressive glial tumor of the central nervous system, that usually presents in adults with seizures, is most often located in the cerebral hemispheres and that is associated with a very poor prognosis.",Disorder
1969,"chordoid glioma is an extremely rare glial neoplasm occurring in the region of the anterior third ventricle or hypothalamus, which is non-infiltrative and well-circumscribed and presents most frequently in middle-aged women with symptoms of memory loss and headaches and, because of its location, has a poor prognosis due to surgical morbidity.",Disorder
1970,"a very rare glial neoplasm of the central nervous system, most often with an intra-axial peripheral supratentorial location in one hemisphere of the frontal or parietal lobes and usually presenting in infants and young adults with symptoms of vomiting, loss of consciousness, epileptic seizures and headaches.",Disorder
1971,"a very rare glial neoplasm of the central nervous system, most often with an intra-axial peripheral supratentorial location in one hemisphere of the frontal or parietal lobes and usually presenting in infants and young adults with symptoms of vomiting, loss of consciousness, epileptic seizures and headaches.",Disorder
1997,"holoprosencephaly-postaxial polydactyly syndrome associates, in chromosomally normal neonates, holoprosencephaly, severe facial dysmorphism, postaxial polydactyly and other congenital abnormalities, suggestive of trisomy 13 (see this term).",Disorder
2002,"extraventricular neurocytoma (evn), a variant of central neurocytoma (see this term), is a rare neuronal neoplasm, composed of round cells with neuronal differentiation, which is located outside of the ventricular system, usually within the spinal cord or cerebral hemispheres and that manifests with headache, nausea, vomiting, complex partial seizures or focal neurological deficits. in some cases it may exhibit atypical features consistent with aggressive clinical behavior.",Disorder
2003,"cerebellar liponeurocytoma (clpn) is a rare slow growing neuronal tumor seen more frequently in females than males, occurring most commonly in the cerebellum but occasionally in the supratentorial compartment or the fourth ventricle and presenting in the 4th to 6th decade of life with symptoms of dizziness, headache and gait instability. it often has a high rate of local recurrence.",Disorder
2005,"a rare type of pineal parenchymal tumor (ppt) of intermediate-grade malignancy manifesting with visual disturbances, headaches, loss of coordination and balance, nausea and vomiting due to obstructive hydrocephalus, and that is classified as either grade ii pptid (pineal parenchymal tumor of intermediate differentiation) or grade iii pptid according to the degree of neuronal differentiation and mitotic activity.",Disorder
2011,hypodontia-nail dysplasia syndrome is a form of ectodermal dysplasia.,Disorder
2012,hypodontia-nail dysplasia syndrome is a form of ectodermal dysplasia.,Disorder
2013,hypodontia-nail dysplasia syndrome is a form of ectodermal dysplasia.,Group of disorders
2020,"ganglioglioma is a rare, usually benign, well-circumscribed, often cystic, mixed neuronal-glial tumor (composed of both neoplastic glial and ganglionic elements) which is typically located in the temporal lobe and rarely invades the surrounding tissue. patients usually present with seizures refractory to medical treatment. association with neurofibromatosis type i and tuberous sclerosis has been reported.",Disorder
2028,"ganglioneuroma is a rare tumor of neuroepithelial tissue, a benign and well-differentiated tumor of neural crest origin, arising from the sympathetic nervous system and composed of ganglion cells and stromal schwann cells. it can arise anywhere from the base of the skull to the pelvis, with the most frequent locations being the adrenal glands, retroperitoneum, posterior mediastinum and the pelvis, or, in rare cases, the central nervous system, heart, bones, intestine or other sites. it may be asymptomatic or present with various symptoms due to mass effect. association with neurofibromatosis type i, multiple endocrine neoplasia type 2b and turner syndrome was reported.",Disorder
2030,"classic medulloblastoma is a histological variant of medulloblastoma (see this term) ,an embryonic malignancy, having a midline location, occurring most often in children and manifesting with variable symptoms such as headaches, nausea, vomiting and ataxia.",Subtype of disorder
2032,"desmoplastic/nodular medulloblastoma is a histological variant of medulloblastoma (see this term), an embryonic malignancy, often located in one of the cerebellar hemispheres, occurring most frequently in adults and manifesting with symptoms such as vomiting and headache.",Subtype of disorder
2035,"medulloblastoma with extensive nodularity (mben) is a histological variant of medulloblastoma (see this term), an embryonic malignancy, most often located in the inferior medullary velum and then growing into the fourth ventricle, and presenting in infants and young children with symptoms of increased intracranial pressure such as headache, listlessness, vomiting, diplopia and papilledema. it is often associated with gorlin syndrome (see this term) and has a relatively good prognosis.",Subtype of disorder
2037,"a histological variant of medulloblastoma, an embryonic malignancy, associated with extremely low survival rates and a high risk of metastatic disease and manifesting with symptoms of increased intracranial pressure such as vomiting, headache, listlessness, papilledema and diplopia.",Subtype of disorder
2040,ependymoblastoma is a rare type of primitive neuroectodermal tumor (pnet) that usually occurs in young children under the age of 2 and is histologically distinguished by the production of ependymoblastic rosettes. it is associated with an aggressive course and a poor prognosis.,Disorder
2042,"ganglioneuroblastoma is a rare type of primitive neuroectodermal tumor (pnet; see this term), affecting almost exclusively infants and young children under the age of 10, usually occurring in the posterior mediastinum, adrenal medulla and extra-adrenal retroperitoneum (but sometimes in the neck and pelvis), with metastasis most often presenting in the bones, and characterized clinically by pain, stridor, shortness of breath, peripheral neurological signs, superior vena cava syndrome and congenital horner syndrome (see this term), depending on the location of the tumor.",Disorder
2045,"a very rare type of choroid plexus tumor that, contrary to papilloma of the choroid plexus, has an increased likelihood of progression to carcinoma and of recurrence. it displays brisk mitoses, nuclear pleomorphism, raised cellular density, obscurity of the papillary growth pattern, and cell necrosis.",Disorder
2046,"choroid plexus carcinoma is a rare and highly aggressive malignant type of choroid plexus tumor (see this term) occurring almost exclusively in children, presenting with cerebrospinal fluid obstruction in the lateral ventricles (most common), the fourth and third ventricles or in multiple ventricles, leading to hydrocephalus and increased intracranial pressure, and manifesting with nausea, vomiting, abnormal eye movements, gait impairment, seizures and enlarged head circumference.",Disorder
2050,hypertelorism-hypospadias-polysyndactyly syndrome is a very rare syndrome associating an acro-fronto-facio-nasal dysostosis with genitourinary anomalies.,Disorder
2051,"papillary tumor of the pineal region (ptpr) is a very rare neoplasm of the pineal region that is thought to arise from the specialized ependymocytes of the subcommissural organ and that manifests with visual disturbances, headaches, loss of coordination and balance, nausea and vomiting due to obstructive hydrocephalus.",Disorder
2052,"pineocytoma is the least aggressive form of pineal parenchymal tumors, manifesting with symptoms such as parinaud's syndrome (a group of eye movement abnormalities and pupil dysfunction, including deficiency in upward-gaze and convergence-retraction nystagmus), headaches, balance impairment, urinary incontinence, and changes in mood and that are not known to disseminate in a diffuse manner. they are usually associated with a good prognosis.",Disorder
2054,"pineoblastoma is a rare, malignant type of supratentorial primitive neuroectodermal tumor (spnet), found mainly in children (less than 10% of cases are reported in adults), and located in the pineal region of the brain but that can metastasize along the neuroaxis. as it is the most aggressive of the pineal parenchymal tumors, it is usually associated with a poor prognosis.",Disorder
2062,3q29 microduplications are recently described chromosomal abnormalities with unclear clinical significance.,Disorder
2063,3q29 microduplications are recently described chromosomal abnormalities with unclear clinical significance.,Disorder
2066,paternal uniparental disomy of chromosome 1 is an uniparental disomy of paternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier.,Disorder
2067,maternal uniparental disomy of chromosome 1 is an uniparental disomy of maternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
2080,"6p22 microdeletion syndrome is a newly described syndrome associated with a variable clinical phenotype including developmental delay, facial dysmorphism, short neck and diverse malformations.",Disorder
2082,"harlequin ichthyosis (hi) is the most severe variant of autosomal recessive congenital ichthyosis (arci; see this term). it is characterized at birth by the presence of large, thick, plate-like scales over the whole body associated with severe ectropion, eclabium, and flattened ears, that later develops into a severe scaling erythroderma.",Disorder
2095,"a rare and severe inborn metabolic disease characterized clinically by the association of severe-to-profound neurodevelopmental impairment, severe visual impairment, ante-postnatal growth impairment, severe scoliosis and, frequently, early-onset epilepsy.",Disorder
2096,"a rare and severe inborn metabolic disease characterized clinically by the association of severe-to-profound neurodevelopmental impairment, severe visual impairment, ante-postnatal growth impairment, severe scoliosis and, frequently, early-onset epilepsy.",Disorder
2098,1q21.1 microdeletion syndrome is a newly described recurrent deletion syndrome with variable clinical manifestations but without the clinical picture of thrombocytopenia - absent radius (tar) syndrome.,Disorder
2107,isotretinoin-like syndrome is a phenocopy of the isotretinoin embryopathy.,Disorder
2109,"a rare tetrogenic embryofetopathy due to exposure to isotretinoin, an oral synthetic vitamin a derivative, which is used to treat severe recalcitrant cystic acne. exposure to isotretinoin during the first trimester of pregnancy has been associated with an increased risk of spontaneous abortions and severe birth defects including serious craniofacial (microcephaly, asymmetric crying facies, microphthalmia, developmental abnormalities of the external ear, ocular hypertelorism), cardio vascular (conotruncal heart defects, aortic arch abnormalities), and central nervous system (hydrocephalus, microcephaly, lissencephaly, dandy-walker malformation, cognitive deficit) anomalies and thymic aplasia.",Disorder
