OrphaCode,Name,DisorderType,ClassificationLevel,Definition
261290,Trisomy 17p,Malformation syndrome,Disorder,"Trisomy 17p is a rare chromosomal abnormality resulting from the duplication of the short arm of chromosome 17 and characterized by pre- and post-natal growth retardation, developmental delay, hypotonia, digital abnormalities, congenital heart defects, and distinctive facial features."
2617,"Microcephalic primordial dwarfism, Montreal type",Malformation syndrome,Disorder,"A rare, genetic multiple congenital anomalies/dysmorphic syndrome characterized by severe short stature and craniofacial dysmorphism (microcephaly, narrow face with flat cheeks, ptosis, prominent nose with a convex ridge, low-set ears with small or absent lobes, high-arched/cleft palate, micrognathia), associated with premature graying and loss of scalp hair, redundant, dry and wrinkled skin of the palms, premature senility and varying degrees of intellectual disability. Cryptorchidism and skeletal anomalies may also be observed. There have been no further descriptions in the literature since 1970."
261265,17q12 microdeletion syndrome,Malformation syndrome,Disorder,"17q12 microdeletion syndrome is a rare chromosomal anomaly syndrome resulting from the partial deletion of the long arm of chromosome 17 characterized by renal cystic disease, maturity onset diabetes of the young type 5, and neurodevelopmental disorders, such as cognitive impairment, developmental delay (particularly of speech), autistic traits and autism spectrum disorder. Müllerian aplasia in females, macrocephaly, mild facial dysmorphism (high forehead, deep set eyes and chubby cheeks) and transient hypercalcaemia have also been reported."
261272,17q12 microduplication syndrome,Malformation syndrome,Disorder,"17q12 microduplication syndrome is a rare chromosomal anomaly with variable phenotypic expression and reduced penetrance associated with developmental delay, mild to severe intellectual disability, speech delay, seizures, microcephaly, behavioral abnormalities, autism spectrum disorder, eye or vision defects (such as strabismus, astigmatism, amblyopia, cataract, coloboma, and microphthalmia), non-specific dysmorphic features, hypotonia, cardiac and renal anomalies, schizophrenia."
261250,16q24.3 microdeletion syndrome,Malformation syndrome,Disorder,"16q24.3 microdeletion syndrome is a recently described syndrome associated with variable developmental delay, facial dysmorphism, seizures and autistic spectrum disorder."
2616,3M syndrome,Malformation syndrome,Disorder,"A rare primordial growth disorder characterized by low birth weight, reduced birth length, severe postnatal growth restriction, large head size, a spectrum of minor anomalies (including facial dysmorphism) and normal intelligence."
2613,Nail-patella-like renal disease,Disease,Disorder,"A rare genetic glomerular disease characterized by variably severe nephropathy with microscopic hematuria and proteinuria, in the absence of nail and bone abnormalities. Characteristic ultrastructural findings are irregular thickening and moth-eaten appearance of the glomerular basement membrane with focal deposition of type III collagen fibrils."
261257,Distal 17p13.3 microdeletion syndrome,Malformation syndrome,Disorder,"Distal 17p13.3 microdeletion syndrome is a rare partial monosomy of the short arm of chromosome 17 with a variable phenotype characterized by prenatal and postnatal growth retardation, developmental delay, mild intellectual disability, macrocephaly, mild facial dysmorphisms including prominent forehead, hypertelorism, thick upper and/or lower lip vermillion, and structural abnormalities of the brain variably including white matter abnormalities, prominent Virchow-Robin spaces, Chiari I malformation, corpus callosum hypoplasia, but no lissencephaly."
261344,Trisomy 1q,Malformation syndrome,Disorder,"Trisomy 1q is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the long arm of chromosome 1, with a highly variable phenotype principally characterized by intellectual disability, short stature, craniofacial dysmorphism (incl. macro/microcephaly, prominent forehead, posteriorly rotated, low-set ears, abnormal palpebral fissures, microphthalmia, broad, flat nasal bridge, high-arched palate, micro/retrognathia), cardiac defects and urogenital anomalies. Patients may also present cerebral (e.g. ventriculomegaly) and gastrointestinal malformations, as well as dystonic tremor and recurrent respiratory tract infections."
261337,Distal 22q11.2 microduplication syndrome,Malformation syndrome,Disorder,"A rare chromosomal anomaly syndrome, resulting from the partial duplication of the long arm of chromosome 22, with a highly variable phenotype principally characterized by developmental delay, intellectual disability, behavioral anomalies, and non-specific craniofacial dysmorphism. Congenital heart malformations, visual and hearing impairment, urogenital abnormalities, and seizures have also been reported. Penetrance is incomplete. In 70% of cases, the duplication is inherited from as asymptomatic parent."
261476,Xp21 deletion syndrome,Disease,Disorder,"A rare chromosomal anomaly characterized by complex glycerol kinase deficiency, congenital adrenal hypoplasia, intellectual disability and/or Duchenne muscular dystrophy that usually affect males. The clinical features depend on the deletion size and the number and type of involved genes."
261349,2p15p16.1 microdeletion syndrome,Malformation syndrome,Disorder,2p15p16.1 microdeletion syndrome is a recently described syndrome characterized by developmental delay and facial dysmorphism.
261318,Trisomy 20p,Malformation syndrome,Disorder,"Trisomy 20p is a chromosomal disorder resulting from duplication of all or part of the short arm of chromosome 20. It is mostly characterized by normal growth, mild to moderate intellectual disability, speech delay, poor coordination and evocative facial features."
261311,20q13.33 microdeletion syndrome,Malformation syndrome,Disorder,"A rare chromosomal anomaly syndrome resulting from the partial deletion of the long arm of chromosome 20 with a highly variable phenotype typically characterized by hypotonia, intellectual disability, cognitive and language deficits (including decreased or absent speech), pre and post-natal growth retardation, feeding difficulties, microcephaly, and malformed hands and feet. Neurodevelopmental disorders (including hyperactivity, social interactive problems and autism spectrum disorder), seizures and dysmorphic facial features (high forehead, hypertelorism, malformed ears, broad nasal bridge, bulbous nasal tip, thin upper lip, small chin) are frequently associated."
2623,Geleophysic dysplasia,Malformation syndrome,Disorder,"A rare skeletal dysplasia characterized by short stature, prominent abnormalities in hands and feet, and a characteristic facial appearance (described as happy'')."
261330,Distal 22q11.2 microdeletion syndrome,Malformation syndrome,Disorder,"A rare chromosomal anomaly syndrome, resulting from the partial deletion of the long arm of chromosome 22, outside the DiGeorge critical region. The phenotype is characterized by prematurity, pre- and post-natal growth retardation, developmental delay (particularly speech), mild intellectual disability, variable cardiac defects, and minor skeletal anomalies (such as clinodactyly). Dysmorphic features present in half of the individuals include microcephaly, arched eyebrows, deep set eyes, narrow upslanting palpebral fissures, ear abnormalities (low-set ears, tags and pits), hypoplastic alae nasi, smooth philtrum, down-turned mouth, thin upper lip, retro/micrognatia and pointed chin. For certain very distal deletions including the <i>SMARCB1</i> gene, there is a risk of developing malignant rhabdoid tumours. Most deletions are <i>de novo </i>."
261323,21q22.11q22.12 microdeletion syndrome,Malformation syndrome,Disorder,"A rare, genetic, chromosomal anomaly syndrome resulting from a partial deletion of the long arm of chromosome 21 characterized by pre- and post-natal growth delay, short stature, intellectual disability, developmental delay with severe language impairment, thrombocytopenia, and craniofacial dysmorphism which may include microcephaly, downslanted palpebral &#64257;ssures, low-set ears, broad nose, thin upper vermillion, and downturned corners of the mouth. Brain MRI abnormalities (such as agenesis of the corpus callosum), behavioral problems and seizures may be associated."
261524,Paternal uniparental disomy of chromosome X,Malformation syndrome,Disorder,A uniparental disomy of paternal origin that does not seem to have an adverse impact on the phenotype of an individual. There is a possibility of homozygosity for a recessive disease mutation for which the father is a carrier and specific phenotype depends on the inherited disorder.
2639,Fibular aplasia-complex brachydactyly syndrome,Malformation syndrome,Disorder,A rare syndrome characterised by severe reduction or absence of the fibula and complex brachydactyly. Less than 30 cases have been described in the literature so far. The syndrome is inherited in an autosomal recessive manner and is caused by mutations in the cartilage-derived morphogenetic protein-1 gene (<i>GDF5</i>).
261519,Maternal uniparental disomy of chromosome X,Malformation syndrome,Disorder,A uniparental disomy of maternal origin that does not seem to have an adverse impact on the phenotype of an individual. There is a possibility of homozygosity for a recessive disease mutation for which the mother is a carrier and specific phenotype depends on the inherited disorder.
261534,"49,XXXYY syndrome",Malformation syndrome,Disorder,"49,XXXYY syndrome is a rare gonosome anomaly syndrome characterized by a eunuchoid habitus with gynecoid fat distribution and shape, normal to tall stature, moderate to severe intellectual disability, distinctive facial features (e.g. prominent forehead, epicanthic folds, broad nasal bridge, prognathism), gynecomastia, hypogonadism, cryptorchidism, small penis and behavioral abnormalities (incl. solitary, passive disposition but prone to aggressive outbursts, autistic). Skeletal malformations, such as delayed bone age, fifth finger clinodactyly, elbow malformations and slow molar development, may also be associated."
2640,"Lethal short-limb dwarfism, McAlister-Crane type",Malformation syndrome,Disorder,"49,XXXYY syndrome is a rare gonosome anomaly syndrome characterized by a eunuchoid habitus with gynecoid fat distribution and shape, normal to tall stature, moderate to severe intellectual disability, distinctive facial features (e.g. prominent forehead, epicanthic folds, broad nasal bridge, prognathism), gynecomastia, hypogonadism, cryptorchidism, small penis and behavioral abnormalities (incl. solitary, passive disposition but prone to aggressive outbursts, autistic). Skeletal malformations, such as delayed bone age, fifth finger clinodactyly, elbow malformations and slow molar development, may also be associated."
261529,Ring chromosome Y syndrome,Malformation syndrome,Disorder,"Ring chromosome Y syndrome is a rare chromosome Y structural anomaly, with a highly variable phenotype, mostly characterized by short stature, partial to total gonadal failure, sexual infantilism, genital anomalies (e.g. ambiguous genitalia, hypospadias, cryptorchidism), and azoospermia or oligozoospermia. Additional reported features include speech delay, obesity, and acanthosis nigricans. Gender dysphoria and comorbid bipolar disorder have also been observed."
2641,"OBSOLETE: Micromelic dwarfism, Fryns type",Disease,Disorder,"Ring chromosome Y syndrome is a rare chromosome Y structural anomaly, with a highly variable phenotype, mostly characterized by short stature, partial to total gonadal failure, sexual infantilism, genital anomalies (e.g. ambiguous genitalia, hypospadias, cryptorchidism), and azoospermia or oligozoospermia. Additional reported features include speech delay, obesity, and acanthosis nigricans. Gender dysphoria and comorbid bipolar disorder have also been observed."
2631,Mesomelic dwarfism-cleft palate-camptodactyly syndrome,Malformation syndrome,Disorder,"A rare syndrome characterised by mesomelic shortening and bowing of the limbs, camptodactyly, skin dimpling and cleft palate with retrognathia and mandibular hypoplasia. It has been described in a brother and sister born to consanguineous parents. Transmission is autosomal recessive."
261494,Kleefstra syndrome,Malformation syndrome,Disorder,"A rare genetic, intellectual disability syndrome characterized by intellectual disability, childhood hypotonia, severe expressive speech delay, autism spectrum disorder, and a distinctive facial appearance with a spectrum of additional clinical features."
261483,Xq27.3q28 duplication syndrome,Malformation syndrome,Disorder,"Xq27.3q28 duplication syndrome is a recently described syndrome characterized by short stature, hypogonadism, developmental delay and facial dysmorphism."
2632,Langer mesomelic dysplasia,Malformation syndrome,Disorder,"A rare, genetic skeletal dysplasia characterized by severe disproportionate short stature with mesomelic and rhizomelic shortening of the upper and lower limbs."
261512,OBSOLETE: Retinitis pigmentosa and intellectual disability due to monosomy Xp11.3,Malformation syndrome,Disorder,"A rare, genetic skeletal dysplasia characterized by severe disproportionate short stature with mesomelic and rhizomelic shortening of the upper and lower limbs."
2633,"Mesomelic dysplasia, Nievergelt type",Malformation syndrome,Disorder,"A rare primary bone dysplasia characterized by severe mesomelic shortness particularly of the lower limbs with distinctive triangular or rhomboid-shaped tibiae and fibulae, accompanied by bony protuberances and skin dimples. Additional manifestations include radioulnar synostosis, dislocation of the radial head, abnormalities of the hands (such as oligosyndactyly or fusiform-shaped fingers) and feet (pes equinovarus, synostoses of tarsals/metatarsals and phalanges), and dysmorphic facial features."
261501,Atypical Norrie disease due to Xp11.3 microdeletion,Malformation syndrome,Disorder,"A rare chromosomal anomaly syndrome, resulting from the partial deletion of the short arm of chromosome X, principally characterized by classical Norrie disease (bilateral, severe retinal malformations and opacity of the lens leading to congenital blindness, on occasion associated with progressive sensorineural deafness and intellectual disability), microcephaly, hypotonia, psychomotor and growth delay, moderate to severe mental handicap and disruptive behaviour. Clinical phenotype is highly variable and immunodeficiency, epilepsy and hypogonadism have also been reported."
2634,"Mesomelic dwarfism, Reinhardt-Pfeiffer type",Malformation syndrome,Disorder,A rare disorder characterized by disproportionate short stature from birth with dysplasia of the ulna and fibula.
2646,Parastremmatic dwarfism,Malformation syndrome,Disorder,"A very rare chondrodysplasia characterized by severe dwarfism, kyphoscoliosis, stiffness of large joints and distortion of lower limbs."
261579,OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to copy number variations,Etiological subtype,Subtype of disorder,"A very rare chondrodysplasia characterized by severe dwarfism, kyphoscoliosis, stiffness of large joints and distortion of lower limbs."
2645,Osteoglosphonic dysplasia,Malformation syndrome,Disorder,"A rare disorder characterized by dwarfism, severe craniofacial abnormalities and multiple unerupted teeth."
261584,Familial adenomatous polyposis due to 5q22.2 microdeletion,Etiological subtype,Subtype of disorder,"A rare disorder characterized by dwarfism, severe craniofacial abnormalities and multiple unerupted teeth."
261600,Alagille syndrome due to 20p12 microdeletion,Etiological subtype,Subtype of disorder,"A rare disorder characterized by dwarfism, severe craniofacial abnormalities and multiple unerupted teeth."
261619,Alagille syndrome due to a JAG1 point mutation,Etiological subtype,Subtype of disorder,"A rare disorder characterized by dwarfism, severe craniofacial abnormalities and multiple unerupted teeth."
261537,Mowat-Wilson syndrome due to monosomy 2q22,Etiological subtype,Subtype of disorder,"A rare disorder characterized by dwarfism, severe craniofacial abnormalities and multiple unerupted teeth."
2643,"Microcephalic primordial dwarfism, Toriello type",Malformation syndrome,Disorder,"A rare disorder characterised by growth retardation with prenatal onset, cataracts, microcephaly, intellectual deficit, immune deficiency, delayed ossification and enamel hypoplasia. It has been described in two siblings. Transmission is autosomal recessive."
261552,Mowat-Wilson syndrome due to a ZEB2 point mutation,Etiological subtype,Subtype of disorder,"A rare disorder characterised by growth retardation with prenatal onset, cataracts, microcephaly, intellectual deficit, immune deficiency, delayed ossification and enamel hypoplasia. It has been described in two siblings. Transmission is autosomal recessive."
261559,OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to 3q23 rearrangement syndrome,Etiological subtype,Subtype of disorder,"A rare disorder characterised by growth retardation with prenatal onset, cataracts, microcephaly, intellectual deficit, immune deficiency, delayed ossification and enamel hypoplasia. It has been described in two siblings. Transmission is autosomal recessive."
261572,OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to a point mutation syndrome,Etiological subtype,Subtype of disorder,"A rare disorder characterised by growth retardation with prenatal onset, cataracts, microcephaly, intellectual deficit, immune deficiency, delayed ossification and enamel hypoplasia. It has been described in two siblings. Transmission is autosomal recessive."
2636,Microcephalic osteodysplastic primordial dwarfism types I and III,Malformation syndrome,Disorder,"A rare, severe, primary bone dysplasia characterized by intrauterine and postnatal growth retardation, microcephaly, facial dysmorphism, skeletal dysplasia, low-birth weight and brain anomalies."
2658,Lenz-Majewski hyperostotic dwarfism,Malformation syndrome,Disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
261629,Alagille syndrome due to a NOTCH2 point mutation,Etiological subtype,Subtype of disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
261638,Okihiro syndrome due to 20q13 microdeletion,Etiological subtype,Subtype of disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
2650,OBSOLETE: Dwarfism-intellectual disability-eye abnormality syndrome,Malformation syndrome,Disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
261647,Okihiro syndrome due to a point mutation,Etiological subtype,Subtype of disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
2654,Syndesmodysplasic dwarfism,Disease,Disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
261652,Kleefstra syndrome due to a point mutation,Etiological subtype,Subtype of disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
3061,"OBSOLETE: X-linked intellectual disability, Raynaud type",Disease,Disorder,"An extremely rare syndrome associating dwarfism, characteristic facial appearance, cutis laxa and progressive bone sclerosis."
264200,14q22q23 microdeletion syndrome,Malformation syndrome,Disorder,"14q22q23 microdeletion syndrome is a rare partial deletion of the long arm of chromosome 14 characterized by ocular anomalies (anopthalmia/microphthalmia, ptosis, hypertelorism, exophthalmos), pituitary anomalies (pituitary hypoplasia/aplasia with growth hormone deficiency and growth retardation) and hand/foot anomalies (polydactyly, short digits, pes cavus). Other clinical features may include muscular hypotonia, psychomotor development delay/intellectual disability, dysmorphic signs (facial asymmetry, microretrognathia, high-arched palate, ear anomalies), congenital genitourinary malformations, hearing impairment. Smaller 14q22 deletions may have variable expression."
3062,"OBSOLETE: X-linked intellectual disability, Schutz type",Disease,Disorder,"14q22q23 microdeletion syndrome is a rare partial deletion of the long arm of chromosome 14 characterized by ocular anomalies (anopthalmia/microphthalmia, ptosis, hypertelorism, exophthalmos), pituitary anomalies (pituitary hypoplasia/aplasia with growth hormone deficiency and growth retardation) and hand/foot anomalies (polydactyly, short digits, pes cavus). Other clinical features may include muscular hypotonia, psychomotor development delay/intellectual disability, dysmorphic signs (facial asymmetry, microretrognathia, high-arched palate, ear anomalies), congenital genitourinary malformations, hearing impairment. Smaller 14q22 deletions may have variable expression."
3059,"X-linked intellectual disability, Gu type",Disease,Disorder,"14q22q23 microdeletion syndrome is a rare partial deletion of the long arm of chromosome 14 characterized by ocular anomalies (anopthalmia/microphthalmia, ptosis, hypertelorism, exophthalmos), pituitary anomalies (pituitary hypoplasia/aplasia with growth hormone deficiency and growth retardation) and hand/foot anomalies (polydactyly, short digits, pes cavus). Other clinical features may include muscular hypotonia, psychomotor development delay/intellectual disability, dysmorphic signs (facial asymmetry, microretrognathia, high-arched palate, ear anomalies), congenital genitourinary malformations, hearing impairment. Smaller 14q22 deletions may have variable expression."
3056,"X-linked intellectual disability, Brooks type",Malformation syndrome,Disorder,"14q22q23 microdeletion syndrome is a rare partial deletion of the long arm of chromosome 14 characterized by ocular anomalies (anopthalmia/microphthalmia, ptosis, hypertelorism, exophthalmos), pituitary anomalies (pituitary hypoplasia/aplasia with growth hormone deficiency and growth retardation) and hand/foot anomalies (polydactyly, short digits, pes cavus). Other clinical features may include muscular hypotonia, psychomotor development delay/intellectual disability, dysmorphic signs (facial asymmetry, microretrognathia, high-arched palate, ear anomalies), congenital genitourinary malformations, hearing impairment. Smaller 14q22 deletions may have variable expression."
3057,Monoamine oxidase A deficiency,Disease,Disorder,"Monoamine oxidase-A deficiency is a very rare recessive X-linked biogenic amine metabolism disorder characterized clinically by mild intellectual deficit, impulsive aggressiveness, and sometimes violent behavior and presenting from childhood."
775,"OBSOLETE: X-linked intellectual disability, Martinez type",Malformation syndrome,Disorder,"Monoamine oxidase-A deficiency is a very rare recessive X-linked biogenic amine metabolism disorder characterized clinically by mild intellectual deficit, impulsive aggressiveness, and sometimes violent behavior and presenting from childhood."
3055,X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,Malformation syndrome,Disorder,"X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome is a rare X-linked intellectual disability syndrome characterized by intellectual disability associated with short stature, obesity, primary hypogonadism and an ichthyosiform skin condition. There have been no further descriptions in the literature since 1982."
3050,OBSOLETE: Intellectual disability-hypotonia-skin hyperpigmentation syndrome,Disease,Disorder,"X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome is a rare X-linked intellectual disability syndrome characterized by intellectual disability associated with short stature, obesity, primary hypogonadism and an ichthyosiform skin condition. There have been no further descriptions in the literature since 1982."
3052,X-linked intellectual disability-seizures-psoriasis syndrome,Disease,Disorder,"A rare, X-linked syndromic intellectual disability disorder characterized by severe intellectual disability, psychomotor developmental delay, generalized seizures, and psoriasis. Mild craniofacial dysmorphism, such as hypertelorism, broad nasal bridge, anteverted nares, macrostomia, highly arched palate and large ears, is also associated. There have been no further descriptions in the literature since 1988."
3046,"OBSOLETE: Intellectual disability-unusual facies, Davis-Lafer type",Malformation syndrome,Disorder,"A rare, X-linked syndromic intellectual disability disorder characterized by severe intellectual disability, psychomotor developmental delay, generalized seizures, and psoriasis. Mild craniofacial dysmorphism, such as hypertelorism, broad nasal bridge, anteverted nares, macrostomia, highly arched palate and large ears, is also associated. There have been no further descriptions in the literature since 1988."
3047,"Blepharophimosis-intellectual disability syndrome, SBBYS type",Malformation syndrome,Disorder,"A rare, genetic, multiple congenital anomalies syndrome characterized by the association of a typical facial phenotype with microcephaly associated with congenital hypothyroidism, skeletal involvement (polydactyly, long thumb(s) and long first toe(s), and patellar hypoplasia/agenesis), and some degree of global developmental delay, hypotonia and intellectual disability. Facial features include an immobile mask-like face, severe blepharophimosis and ptosis, tear duct abnormalities, a broad nasal bridge, bulbous nasal tip, small mouth, thin upper lip, hypoplastic teeth and small, low set ears. Renal and genital anomalies, usually cryptorchidism, are often present in affected males. Congenital heart defects and growth delay are variably present."
3043,OBSOLETE: Intellectual disability-unusual facies syndrome,Malformation syndrome,Disorder,"A rare, genetic, multiple congenital anomalies syndrome characterized by the association of a typical facial phenotype with microcephaly associated with congenital hypothyroidism, skeletal involvement (polydactyly, long thumb(s) and long first toe(s), and patellar hypoplasia/agenesis), and some degree of global developmental delay, hypotonia and intellectual disability. Facial features include an immobile mask-like face, severe blepharophimosis and ptosis, tear duct abnormalities, a broad nasal bridge, bulbous nasal tip, small mouth, thin upper lip, hypoplastic teeth and small, low set ears. Renal and genital anomalies, usually cryptorchidism, are often present in affected males. Congenital heart defects and growth delay are variably present."
3044,Intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome,Malformation syndrome,Disorder,"A rare, genetic, syndromic intellectual disability disorder characterized by mild to moderate intellectual disability, facial dysmorphism (including a long face, deep-set eyes, narrow-based, broad nose with nostril colobomata, mandibular prognathism), hypergonadotrophic hypogonadism, eunuchoid habitus, diabetes mellitus type 1, and epilepsy. There have been no further descriptions in the literature since 1990."
3042,Intellectual disability-cataracts-calcified pinnae-myopathy syndrome,Malformation syndrome,Disorder,"Intellectual disability-cataracts-calcified pinnae-myopathy syndrome is a rare, genetic intellectual disability syndrome characterized by macrocephaly, hypotonia, dysmorphic facial features (wide forehead, ptosis, downslanting palpebral fissures, enlarged and calcified external ears, large jaw), sparse body hair, tall stature, and intellectual disability. Hearing loss, insulin-resistant diabetes, and progressive distal muscle wasting (leading to joint contractures) have also been reported in adulthood. Rare manifestations include behavioral abnormalities (aggression and restlessness), hypothyroidism, cerebral calcification, ataxia, and peripheral neuropathy."
3041,Intellectual disability-balding-patella luxation-acromicria syndrome,Malformation syndrome,Disorder,"Intellectual disability-balding-patella luxation-acromicria syndrome is characterised by severe intellectual deficit, patella luxations, acromicria, hypogonadism, facial dysmorphism (including midface hypoplasia and premature frontotemporal balding). It has been described in three unrelated males."
3038,Delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome,Malformation syndrome,Disorder,"This syndrome is extremely rare and is characterized by delayed speech development, mild facial asymmetry, strabismus and transverse ear lobe creases."
263665,NK-cell enteropathy,Disease,Disorder,"Natural killer (NK)-cell enteropathy is a benign NK-cell lymphoproliferative disease characterized by minor abdominal symptoms (abdominal pain, diverticulosis, constipation and reflux) due to NK cell-derived lesions in the mucosal layer of the gastrointestinal tract and often mistaken for NK or T-cell lymphoma (see these terms)."
263558,Peeling skin syndrome type C,Clinical subtype,Subtype of disorder,"Natural killer (NK)-cell enteropathy is a benign NK-cell lymphoproliferative disease characterized by minor abdominal symptoms (abdominal pain, diverticulosis, constipation and reflux) due to NK cell-derived lesions in the mucosal layer of the gastrointestinal tract and often mistaken for NK or T-cell lymphoma (see these terms)."
3035,Growth delay-hydrocephaly-lung hypoplasia syndrome,Malformation syndrome,Disorder,"Growth delay - hydrocephaly - lung hypoplasia, also named Game-Friedman-Paradice syndrome, is a rare developmental disorder described in 4 sibs so far and characterized by delayed fetal growth, hydrocephaly with patent aqueduct of Sylvius, underdeveloped lungs and various other anomalies such as small jaw, intestinal malrotation, omphalocele, shortness of lower limbs, bowed tibias and foot deformities."
263662,Familial multiple meningioma,Disease,Disorder,"Familial multiple meningioma is a rare, benign neoplasm of the central nervous system characterized by the development of multiple or, rarely, solitary meningiomas in two or more blood relatives, without other apparent syndromic manifestations. Depending on the localization, growth rate and size of the tumors, patients can present with subtle, gradually worsening or abrupt and severe neurological compromise or can be completely asymptomatic."
3034,Delayed membranous cranial ossification,Malformation syndrome,Disorder,"Delayed membranous cranial ossification is a rare, genetic primary bone dysplasia characterized by absent ossification of calvarial bones at birth and characteristic facial dysmorphisms (frontal bossing, hypertelorism, downward-slanting palpebral fissures, proptosis, flat nasal bridge, low-set ears, midface retrusion). Patients present a soft skull at birth which, over time, progressively ossifies and in adulthood typically results in a deformed skull (with brachycephaly and prominent occiput). No other skeletal abnormalities are associated and patients have normal cognitive and motor development."
263548,Peeling skin syndrome type A,Clinical subtype,Subtype of disorder,"Peeling skin syndrome (PSS) type A is a non inflammatory form of generalized PSS (see this term), a type of ichthyosis (see this term), characterized by generalized white scaling and superficial painless peeling of the skin."
3033,Renal tubular dysgenesis,Malformation syndrome,Disorder,"A rare disorder of the fetus characterized by absent or poorly developed proximal tubules of the kidneys, persistent oligohydramnios, leading to Potter sequence (facial dysmorphism with large and flat, low-set ears, lung hypoplasia, arthrogryposis and limb positioning defects), and skull ossification defects."
263553,Peeling skin syndrome type B,Clinical subtype,Subtype of disorder,"Peeling skin syndrome (PSS) type B, also known as peeling skin disease (PSD), is a rare inflammatory form of ichthyosis (see this term) characterized by superficial patchy peeling of the entire skin with underlying erythroderma, pruritus, and atopy."
3032,NPHP3-related Meckel-like syndrome,Malformation syndrome,Disorder,"NPHP3-related Meckel-like syndrome is a rare, genetic, syndromic renal malformation characterized by cystic renal dysplasia with or without prenatal oligohydramnios, central nervous system abnormalities (commonly Dandy-Walker malformation), congenital hepatic fibrosis, and absence of polydactyly."
263534,Acral peeling skin syndrome,Disease,Disorder,A rare peeling skin syndrome characterized by superficial peeling of the skin predominantly affecting the dorsa of the hands and feet.
263543,Generalized peeling skin syndrome,Disease,Disorder,"Generalized peeling skin syndrome (PSS) is a form of PSS (see this term) presenting with a generalized distribution. It comprises two sub-types: the non-inflammatory (PSS type A) and the inflammatory (PSS type B) form (see these terms). PSS type A is characterized by generalized white scaling with superficial peeling of the skin, while PSS type B is characterized by superficial patchy peeling of the entire skin with underlying erythroderma, associated with pruritus, and atopy."
263516,Progressive myoclonic epilepsy type 3,Clinical subtype,Subtype of disorder,"A rare, genetic, neuronal ceroid lipofuscinosis disorder characterized by infantile- to early childhood-onset of progressive myoclonic seizures (occasionally accompanied by generalized tonic-clonic seizures) and severe, progressive neurological regression, leading to psychomotor and cognitive decline, cerebellar ataxia, dementia and, frequently, early death. Vision loss may be associated. EEG typically reveals epileptiform activity with predominance in the posterior region and photosensitivity."
3029,NON RARE IN EUROPE: Horseshoe kidney,Morphological anomaly,Disorder,"A rare, genetic, neuronal ceroid lipofuscinosis disorder characterized by infantile- to early childhood-onset of progressive myoclonic seizures (occasionally accompanied by generalized tonic-clonic seizures) and severe, progressive neurological regression, leading to psychomotor and cognitive decline, cerebellar ataxia, dementia and, frequently, early death. Vision loss may be associated. EEG typically reveals epileptiform activity with predominance in the posterior region and photosensitivity."
263524,Acute necrotizing encephalopathy of childhood,Disease,Disorder,"A rare neurologic disease characterized by a rapid onset of seizures, an altered state of consciousness, neurologic decline, and variable degrees of hepatic dysfunction following a respiratory or gastrointesitnal infection (e.g. mycoplasma, influenza virus) in a previously healthy child. Brain MRI of patients reveals bilateral, multiple, symmetrical lesions predominantly observed in thalami and brainstem, but also in periventricular white matter and cerebellum in some cases."
263501,COG4-CDG,Disease,Disorder,"COG4-CDG is an extremely rare form of CDG syndrome (see this term) characterized clinically in the single reported case to date by seizures, some dysmorphic features, axial hyponia, slight peripheral hypertonia and hyperreflexia."
3026,Radial ray hypoplasia-choanal atresia syndrome,Malformation syndrome,Disorder,"An extremely rare syndrome characterized by radial ray hypoplasia, choanal atresia and convergent strabismus."
263508,COG1-CDG,Disease,Disorder,"COG1-CDG is an extremely rare form of CDG syndrome (see this term) characterized clinically in the few cases reported to date by variable signs including microcephaly, growth retardation, psychomotor retardation and facial dysmorphism."
263482,"Spondyloepiphyseal dysplasia, Maroteaux type",Disease,Disorder,"Spondyloepiphyseal dysplasia, Maroteaux type is a very rare type of spondyloepiphyseal dysplasia (see this term) described in fewer than 10 patients to date and characterized clinically by dysplastic epiphyses, short stature appearing in infancy, short neck, short and stubby hands and feet, scoliosis, genu valgum, abnormal pelvis, osteoporosis and osteoarthritis."
